valueId,timeframe,ts,open,high,low,close,time
rftmxp,5m,2025-10-28T04:12:19.677Z,88.75,89.77,88.75,89.77,2025-10-28T04:12:19.677Z
sonmxp,5m,2025-10-28T04:12:19.677Z,1.1621,1.1853,1.1621,1.1853,2025-10-28T04:12:19.677Z
litmxp,5m,2025-10-28T04:12:19.677Z,51.72,52.43,51.72,52.43,2025-10-28T04:12:19.677Z
baumxp,5m,2025-10-28T04:12:19.677Z,110.94,110.94,110.42,110.42,2025-10-28T04:12:19.677Z
sammxp,5m,2025-10-28T04:12:19.677Z,0.9723,0.9888,0.9723,0.9888,2025-10-28T04:12:19.677Z
anlmxp,5m,2025-10-28T04:12:29.677Z,1.0252,1.0252,1.0047,1.0047,2025-10-28T04:12:29.677Z
zhnmxp,5m,2025-10-28T04:12:29.677Z,12.85,13.11,12.85,13.11,2025-10-28T04:12:29.677Z
ghor,5m,2025-10-28T04:12:29.677Z,55.86,55.86,55.77,55.77,2025-10-28T04:12:29.677Z
ggramm,5m,2025-10-28T04:12:29.677Z,41.48,41.48,41.02,41.02,2025-10-28T04:12:29.677Z
rftmxp,5m,2025-10-28T04:12:29.677Z,88.51,88.51,87.92,87.92,2025-10-28T04:12:29.677Z
sammxp,5m,2025-10-28T04:12:29.677Z,0.994,1,0.994,1,2025-10-28T04:12:29.677Z
hormxp,5m,2025-10-28T04:12:29.677Z,54.35,54.39,54.35,54.39,2025-10-28T04:12:29.677Z
litmxp,5m,2025-10-28T04:12:29.677Z,52.27,52.27,51.55,51.55,2025-10-28T04:12:29.677Z
wxhmxp,5m,2025-10-28T04:12:29.677Z,1.0134,1.0218,1.0134,1.0218,2025-10-28T04:12:29.677Z
grmmxp,5m,2025-10-28T04:12:29.677Z,44.31,44.31,43.93,43.93,2025-10-28T04:12:29.677Z
dsgmxp,5m,2025-10-28T04:12:29.677Z,92.35,92.35,90.56,90.56,2025-10-28T04:12:29.677Z
baumxp,5m,2025-10-28T04:12:29.677Z,110.39,110.39,110.1,110.1,2025-10-28T04:12:29.677Z
waumxp,5m,2025-10-28T04:12:29.677Z,0.9912,0.9912,0.9912,0.9912,2025-10-28T04:12:29.677Z
wgrmxp,5m,2025-10-28T04:12:29.677Z,0.9989,0.9989,0.9989,0.9989,2025-10-28T04:12:29.677Z
gzehntel,5m,2025-10-28T04:12:29.677Z,12.88,12.88,12.75,12.75,2025-10-28T04:12:29.677Z
sonmxp,5m,2025-10-28T04:12:29.677Z,1.1868,1.1868,1.1631,1.1631,2025-10-28T04:12:29.677Z
glit,5m,2025-10-28T04:12:29.677Z,49.56,49.56,49.52,49.52,2025-10-28T04:12:29.677Z
wbtmxp,5m,2025-10-28T04:12:29.677Z,1.0089,1.0089,0.9995,0.9995,2025-10-28T04:12:29.677Z
wgrmxp,5m,2025-10-28T04:12:39.677Z,0.9985,0.9985,0.9974,0.9974,2025-10-28T04:12:39.677Z
hormxp,5m,2025-10-28T04:12:39.677Z,55.48,55.98,55.48,55.98,2025-10-28T04:12:39.677Z
krimxp,5m,2025-10-28T04:12:39.677Z,43.65,43.65,42.78,42.78,2025-10-28T04:12:39.677Z
waumxp,5m,2025-10-28T04:12:39.677Z,0.9722,0.9743,0.9722,0.9743,2025-10-28T04:12:39.677Z
zhnmxp,5m,2025-10-28T04:12:39.677Z,13.12,13.33,13.12,13.33,2025-10-28T04:12:39.677Z
glit,5m,2025-10-28T04:12:39.677Z,48.53,48.53,47.61,47.61,2025-10-28T04:12:39.677Z
litmxp,5m,2025-10-28T04:12:39.677Z,51.59,52.49,51.59,52.49,2025-10-28T04:12:39.677Z
ghor,5m,2025-10-28T04:12:39.677Z,55.52,55.52,54.45,54.45,2025-10-28T04:12:39.677Z
gkrimi,5m,2025-10-28T04:12:39.677Z,41.85,41.85,41.01,41.01,2025-10-28T04:12:39.677Z
gzehntel,5m,2025-10-28T04:12:39.677Z,12.77,12.77,12.66,12.66,2025-10-28T04:12:39.677Z
ggramm,5m,2025-10-28T04:12:39.677Z,41.08,41.08,40.26,40.26,2025-10-28T04:12:39.677Z
wbtmxp,5m,2025-10-28T04:12:39.677Z,1.0057,1.0131,1.0057,1.0131,2025-10-28T04:12:39.677Z
wxhmxp,5m,2025-10-28T04:12:39.677Z,1.0261,1.0319,1.0261,1.0319,2025-10-28T04:12:39.677Z
dsgmxp,5m,2025-10-28T04:12:39.677Z,92.37,94.22,92.37,94.22,2025-10-28T04:12:39.677Z
sonmxp,5m,2025-10-28T04:12:39.677Z,1.1864,1.1864,1.1853,1.1853,2025-10-28T04:12:39.677Z
baumxp,5m,2025-10-28T04:12:39.677Z,110.43,110.65,110.43,110.65,2025-10-28T04:12:39.677Z
sammxp,5m,2025-10-28T04:12:39.677Z,0.9833,0.9833,0.9732,0.9732,2025-10-28T04:12:39.677Z
rftmxp,5m,2025-10-28T04:12:39.677Z,87.4,87.49,87.4,87.49,2025-10-28T04:12:39.677Z
anlmxp,5m,2025-10-28T04:12:39.677Z,1.0152,1.0152,1.0122,1.0122,2025-10-28T04:12:39.677Z
grmmxp,5m,2025-10-28T04:12:39.677Z,43.77,44.06,43.77,44.06,2025-10-28T04:12:39.677Z
gkrimi,5m,2025-10-28T04:12:49.677Z,41.06,41.88,41.06,41.88,2025-10-28T04:12:49.677Z
dsgmxp,5m,2025-10-28T04:12:49.677Z,95.1,95.1,94.38,94.38,2025-10-28T04:12:49.677Z
rftmxp,5m,2025-10-28T04:12:49.677Z,88.24,90,88.24,90,2025-10-28T04:12:49.677Z
wxhmxp,5m,2025-10-28T04:12:49.677Z,1.0525,1.0525,1.051,1.051,2025-10-28T04:12:49.677Z
