valueId,timeframe,ts,open,high,low,close,time
anlmxp,4h,2025-10-28T05:31:45.350Z,0.9947,0.9947,0.9947,0.9947,2025-10-28T05:31:45.350Z
anlmxp,4h,2025-10-28T10:00:41.573Z,0.984,0.984,0.984,0.984,2025-10-28T10:00:41.573Z
anlmxp,4h,2025-11-07T04:00:00.967Z,1,1.0543,0.9454,0.9934,
anlmxp,4h,2025-11-07T08:00:04.388Z,0.9934,1.069,0.9693,1.0134,
anlmxp,4h,2025-11-07T12:00:04.115Z,1.0134,1.0808,0.9552,1.0235,
anlmxp,4h,2025-11-07T15:25:02.296Z,1.0369,1.0369,1.0369,1.0369,
anlmxp,4h,2025-11-07T16:44:21.039Z,1.0211,1.0211,1.0211,1.0211,
anlmxp,4h,2025-11-07T21:10:06.468Z,1.0126,1.0126,1.0126,1.0126,
anlmxp,4h,2025-11-08T15:45:21.376Z,0.9992,0.9992,0.9992,0.9992,
anlmxp,4h,2025-11-08T19:50:04.912Z,0.9996,1.0247,1.02,1.0247,
