valueId,timeframe,ts,open,high,low,close,time
anlmxp,5m,2025-10-28T04:12:29.677Z,1.0252,1.0252,1.0047,1.0047,2025-10-28T04:12:29.677Z
anlmxp,5m,2025-10-28T04:12:39.677Z,1.0152,1.0152,1.0122,1.0122,2025-10-28T04:12:39.677Z
anlmxp,5m,2025-10-28T04:12:49.677Z,1.012,1.012,0.9921,0.9921,2025-10-28T04:12:49.677Z
anlmxp,5m,2025-10-28T04:12:59.677Z,0.9902,0.9915,0.9902,0.9915,2025-10-28T04:12:59.677Z
anlmxp,5m,2025-10-28T04:13:09.677Z,0.9842,1.003,0.9842,1.003,2025-10-28T04:13:09.677Z
anlmxp,5m,2025-10-28T04:13:19.677Z,1.0057,1.0234,1.0057,1.0234,2025-10-28T04:13:19.677Z
anlmxp,5m,2025-10-28T04:13:29.677Z,1.0324,1.0324,1.0316,1.0316,2025-10-28T04:13:29.677Z
anlmxp,5m,2025-10-28T04:42:19.671Z,1.0271,1.0271,1.0142,1.0142,2025-10-28T04:42:19.671Z
anlmxp,5m,2025-10-28T04:42:29.671Z,1.0099,1.0245,1.0099,1.0245,2025-10-28T04:42:29.671Z
anlmxp,5m,2025-10-28T04:42:39.671Z,1.0179,1.0179,1.0069,1.0069,2025-10-28T04:42:39.671Z
anlmxp,5m,2025-10-28T04:42:49.671Z,0.9868,0.9868,0.9868,0.9868,2025-10-28T04:42:49.671Z
anlmxp,5m,2025-10-28T04:43:09.671Z,0.9781,0.9781,0.9781,0.9781,2025-10-28T04:43:09.671Z
anlmxp,5m,2025-10-28T04:43:19.671Z,0.97,0.97,0.97,0.97,2025-10-28T04:43:19.671Z
anlmxp,5m,2025-10-28T05:31:45.350Z,0.9947,0.9947,0.9947,0.9947,2025-10-28T05:31:45.350Z
anlmxp,5m,2025-10-28T05:36:46.411Z,0.9643,1.0288,0.945,1.0088,2025-10-28T05:36:46.411Z
anlmxp,5m,2025-10-28T10:00:41.573Z,0.984,0.984,0.984,0.984,2025-10-28T10:00:41.573Z
anlmxp,5m,2025-10-28T10:59:15.041Z,0.985,0.985,0.985,0.985,2025-10-28T10:59:15.041Z
anlmxp,5m,2025-10-28T11:12:02.054Z,0.9943,1.0247,0.9943,1,2025-10-28T11:12:02.054Z
anlmxp,5m,2025-10-28T11:40:26.082Z,0.9748,0.9748,0.9748,0.9748,2025-10-28T11:40:26.082Z
anlmxp,5m,2025-10-28T11:50:21.058Z,0.994,0.994,0.994,0.994,2025-10-28T11:50:21.058Z
anlmxp,5m,2025-10-28T12:00:58.622Z,0.9748,0.9748,0.9748,0.9748,2025-10-28T12:00:58.622Z
anlmxp,5m,2025-10-28T12:05:58.622Z,1.008,1.016,0.9743,0.9957,2025-10-28T12:05:58.622Z
anlmxp,5m,2025-10-28T12:10:58.622Z,0.9627,0.9627,0.9627,0.9627,2025-10-28T12:10:58.622Z
anlmxp,5m,2025-10-28T12:11:02.049Z,0.9994,1.0172,0.9664,1.0172,2025-10-28T12:11:02.049Z
anlmxp,5m,2025-10-28T12:15:58.622Z,0.9897,1.0282,0.983,1.0216,2025-10-28T12:15:58.622Z
anlmxp,5m,2025-10-28T12:20:58.622Z,1.0083,1.0083,0.9882,0.9998,2025-10-28T12:20:58.622Z
anlmxp,5m,2025-10-28T12:25:58.622Z,1.0251,1.0251,0.9654,0.983,2025-10-28T12:25:58.622Z
anlmxp,5m,2025-10-28T12:30:58.622Z,0.9934,1.0173,0.9822,1.0115,2025-10-28T12:30:58.622Z
anlmxp,5m,2025-10-28T12:35:58.622Z,1.0231,1.0231,1.0231,1.0231,2025-10-28T12:35:58.622Z
anlmxp,5m,2025-10-28T12:51:44.033Z,0.9853,1.0365,0.9502,0.9502,2025-10-28T12:51:44.033Z
anlmxp,5m,2025-10-28T12:56:47.294Z,0.9502,1.03,0.9365,0.9966,2025-10-28T12:56:47.294Z
anlmxp,5m,2025-10-28T13:01:52.666Z,0.9966,1.0491,0.9432,1.0226,2025-10-28T13:01:52.666Z
anlmxp,5m,2025-10-28T13:06:54.296Z,1.0226,1.0584,0.9711,1.0584,2025-10-28T13:06:54.296Z
anlmxp,5m,2025-10-28T14:15:07.623Z,0.9864,1.0562,0.9664,1.0336,2025-10-28T14:15:07.623Z
anlmxp,5m,2025-10-28T19:43:02.300Z,1.0153,1.0431,0.9703,1.0306,2025-10-28T19:43:02.300Z
anlmxp,5m,2025-10-28T19:49:36.010Z,0.98,1.0351,0.9538,0.9941,2025-10-28T19:49:36.010Z
anlmxp,5m,2025-10-28T19:56:01.884Z,1.0038,1.0398,0.9435,1.0113,2025-10-28T19:56:01.884Z
anlmxp,5m,2025-10-29T15:45:07.794Z,0.9845,1.0306,0.9587,0.988,2025-10-29T15:45:07.794Z
anlmxp,5m,2025-10-30T23:40:41.421Z,0.9843,0.9843,0.9218,0.9402,2025-10-30T23:40:41.421Z
anlmxp,5m,2025-10-30T23:40:57.480Z,0.9402,1.0003,0.9402,1.0003,2025-10-30T23:40:57.480Z
anlmxp,5m,2025-10-30T23:43:37.284Z,0.99,1.0023,0.9644,0.9757,2025-10-30T23:43:37.284Z
anlmxp,5m,2025-10-30T23:43:51.613Z,0.9757,1.0052,0.9757,1.0052,2025-10-30T23:43:51.613Z
anlmxp,5m,2025-10-30T23:44:02.095Z,1.0052,1.0262,1.0045,1.0045,2025-10-30T23:44:02.095Z
anlmxp,5m,2025-10-30T23:44:12.757Z,1.0045,1.0091,0.9707,0.9815,2025-10-30T23:44:12.757Z
anlmxp,5m,2025-10-30T23:44:26.876Z,0.9815,1.0055,0.9699,1.0055,2025-10-30T23:44:26.876Z
anlmxp,5m,2025-10-30T23:44:41.018Z,1.0055,1.0055,0.9739,0.9739,2025-10-30T23:44:41.018Z
anlmxp,5m,2025-10-30T23:44:55.208Z,0.9739,0.9955,0.9739,0.9909,2025-10-30T23:44:55.208Z
anlmxp,5m,2025-10-30T23:45:09.403Z,0.9909,1.0298,0.9909,1.0268,2025-10-30T23:45:09.403Z
anlmxp,5m,2025-10-30T23:45:22.693Z,1.0268,1.0372,1.0139,1.0139,2025-10-30T23:45:22.693Z
anlmxp,5m,2025-10-30T23:45:33.017Z,1.0139,1.0139,0.9867,0.9867,2025-10-30T23:45:33.017Z
anlmxp,5m,2025-10-30T23:45:44.701Z,0.9867,0.9908,0.967,0.9908,2025-10-30T23:45:44.701Z
anlmxp,5m,2025-10-30T23:45:58.805Z,0.9908,1.0256,0.9869,1.0256,2025-10-30T23:45:58.805Z
anlmxp,5m,2025-10-30T23:46:12.892Z,1.0256,1.0256,0.9941,1.014,2025-10-30T23:46:12.892Z
anlmxp,5m,2025-10-30T23:46:27.003Z,1.014,1.0391,1.0063,1.0063,2025-10-30T23:46:27.003Z
anlmxp,5m,2025-10-30T23:50:35.433Z,1.0182,1.0386,1.0058,1.0058,2025-10-30T23:50:35.433Z
anlmxp,5m,2025-10-30T23:50:48.037Z,1.0058,1.0058,0.9834,0.9834,2025-10-30T23:50:48.037Z
anlmxp,5m,2025-11-07T02:45:02.812Z,1,1.0236,0.9811,1.0108,
anlmxp,5m,2025-11-07T02:50:01.963Z,1.0108,1.0322,0.9595,0.9959,
anlmxp,5m,2025-11-07T02:55:00.913Z,1,1,0.9999,0.9999,
anlmxp,5m,2025-11-07T03:00:03.595Z,0.9816,1.0314,0.9561,1.0314,
anlmxp,5m,2025-11-07T03:05:00.803Z,1.0085,1.0678,0.9716,1.0365,
anlmxp,5m,2025-11-07T03:15:00.426Z,1,1.0276,0.9736,1.0003,
anlmxp,5m,2025-11-07T03:20:00.774Z,1,1.0189,0.9884,1.0189,
anlmxp,5m,2025-11-07T03:25:00.712Z,1.0189,1.0445,0.9811,0.9864,
anlmxp,5m,2025-11-07T03:30:04.050Z,0.9864,1.0264,0.9565,1.0126,
anlmxp,5m,2025-11-07T03:35:00.831Z,1.0126,1.0252,0.954,0.9754,
anlmxp,5m,2025-11-07T03:40:02.360Z,0.9783,1.0269,0.9582,1.016,
anlmxp,5m,2025-11-07T03:45:01.843Z,1.016,1.0447,0.9875,0.9881,
anlmxp,5m,2025-11-07T03:50:00.970Z,0.9881,1.0156,0.9544,0.9829,
anlmxp,5m,2025-11-07T03:55:00.834Z,1,1.0235,0.9802,0.9995,
anlmxp,5m,2025-11-07T04:00:00.967Z,1.0008,1.0344,0.951,0.9934,
anlmxp,5m,2025-11-07T04:05:00.680Z,0.9934,1.0264,0.9458,0.9647,
anlmxp,5m,2025-11-07T04:10:00.989Z,1.0039,1.0288,0.953,0.9894,
anlmxp,5m,2025-11-07T04:15:00.993Z,0.9894,1.037,0.9427,0.999,
anlmxp,5m,2025-11-07T04:20:00.992Z,1.0034,1.0255,0.9508,0.9508,
anlmxp,5m,2025-11-07T04:25:00.678Z,1.035,1.0494,0.967,1.0258,
anlmxp,5m,2025-11-07T04:30:02.932Z,0.9903,1.0399,0.974,1.0091,
anlmxp,5m,2025-11-07T04:35:01.207Z,0.9805,1.037,0.9665,1.0076,
anlmxp,5m,2025-11-07T04:40:02.209Z,0.9903,1.0381,0.9477,1.0032,
anlmxp,5m,2025-11-07T04:45:02.614Z,1,1.0029,0.9619,0.9714,
anlmxp,5m,2025-11-07T04:50:01.027Z,0.9798,1.0405,0.9727,1.0094,
anlmxp,5m,2025-11-07T04:55:00.813Z,1,1.0263,0.9626,0.9857,
anlmxp,5m,2025-11-07T05:00:01.239Z,0.9857,1.0426,0.9621,1.0171,
anlmxp,5m,2025-11-07T05:05:01.132Z,1.0179,1.0343,0.9519,0.9534,
anlmxp,5m,2025-11-07T05:10:02.249Z,0.9893,1.0541,0.9537,0.9987,
anlmxp,5m,2025-11-07T05:15:02.064Z,0.9774,1.0305,0.9462,0.9474,
anlmxp,5m,2025-11-07T05:24:42.991Z,0.9683,1.0598,0.9645,0.9958,
anlmxp,5m,2025-11-07T05:25:01.150Z,0.9626,1.0474,0.9378,1.0161,
anlmxp,5m,2025-11-07T05:40:02.263Z,1.0161,1.0284,0.9772,1.0116,
anlmxp,5m,2025-11-07T05:45:01.921Z,1.0116,1.0346,0.9628,0.9883,
anlmxp,5m,2025-11-07T05:50:02.489Z,0.9883,1.0273,0.9682,1.0145,
anlmxp,5m,2025-11-07T05:55:00.942Z,1.0145,1.032,0.9782,0.9943,
anlmxp,5m,2025-11-07T06:00:42.033Z,0.9943,1.0277,0.9757,0.9951,
anlmxp,5m,2025-11-07T06:05:00.887Z,1.0009,1.0361,0.959,0.984,
anlmxp,5m,2025-11-07T06:10:02.319Z,0.984,1.0262,0.9657,1.0009,
anlmxp,5m,2025-11-07T06:15:02.501Z,1.0009,1.0307,0.9768,1.0096,
anlmxp,5m,2025-11-07T06:22:30.008Z,1.0096,1.0466,0.9779,1.0116,
anlmxp,5m,2025-11-07T06:26:19.990Z,0.9902,1.0381,0.9641,1.022,
anlmxp,5m,2025-11-07T06:31:14.085Z,1.0192,1.0477,0.9695,0.9887,
anlmxp,5m,2025-11-07T06:35:00.673Z,0.9887,1.0456,0.9743,0.9864,
anlmxp,5m,2025-11-07T06:40:02.055Z,0.9864,1.0439,0.9873,1.0294,
anlmxp,5m,2025-11-07T06:45:40.979Z,1.0294,1.0448,1.0109,1.0395,
anlmxp,5m,2025-11-07T06:50:02.319Z,1.0395,1.0425,1.02,1.0375,
anlmxp,5m,2025-11-07T07:05:01.624Z,0.9961,1.02,0.9996,1.0024,
anlmxp,5m,2025-11-07T07:06:13.929Z,1.0375,1.0231,1.02,1.0231,
anlmxp,5m,2025-11-07T07:10:02.048Z,1.0024,1.02,0.9818,1.0014,
anlmxp,5m,2025-11-07T07:15:02.379Z,1.0014,1.0405,0.9726,1.0258,
anlmxp,5m,2025-11-07T07:20:02.737Z,1.0258,1.0617,0.9732,0.9925,
anlmxp,5m,2025-11-07T07:25:01.177Z,0.9925,1.0604,0.9825,1.001,
anlmxp,5m,2025-11-07T07:30:02.882Z,1.001,1.0677,0.9865,1.0488,
anlmxp,5m,2025-11-07T07:35:01.272Z,1.0488,1.0488,0.9718,1.014,
anlmxp,5m,2025-11-07T07:40:02.316Z,1.014,1.0447,0.9693,0.9903,
anlmxp,5m,2025-11-07T07:45:02.009Z,0.9903,1.069,0.9799,1.0294,
anlmxp,5m,2025-11-07T07:50:01.976Z,1.0294,1.0589,0.9813,1.0109,
anlmxp,5m,2025-11-07T07:55:01.278Z,1.0109,1.0602,0.9849,0.9974,
anlmxp,5m,2025-11-07T08:00:04.388Z,0.9974,1.042,0.9974,1.0134,
