valueId,timeframe,ts,open,high,low,close,time
baumxp,4h,2025-10-28T05:31:45.350Z,104.85,104.85,104.85,104.85,2025-10-28T05:31:45.350Z
baumxp,4h,2025-10-28T10:59:15.041Z,106.95,106.95,106.95,106.95,2025-10-28T10:59:15.041Z
baumxp,4h,2025-11-07T04:00:00.967Z,110,116.69,102.53,108.28,
baumxp,4h,2025-11-07T08:00:04.388Z,108.28,118.83,103.64,107.86,
baumxp,4h,2025-11-07T12:00:04.115Z,107.86,116.81,103.54,108.04,
baumxp,4h,2025-11-07T15:25:02.296Z,112.15,114.13,112.15,114.13,
baumxp,4h,2025-11-07T16:44:01.415Z,109.63,110.55,109.63,110.55,
baumxp,4h,2025-11-07T21:10:06.468Z,110.07,110.07,110.07,110.07,
baumxp,4h,2025-11-08T15:45:21.376Z,110.69,110.69,110.61,110.61,
baumxp,4h,2025-11-08T19:50:04.912Z,107.8,112.08,110,112.08,
