valueId,timeframe,ts,open,high,low,close,time
baumxp,5m,2025-10-28T04:12:19.677Z,110.94,110.94,110.42,110.42,2025-10-28T04:12:19.677Z
baumxp,5m,2025-10-28T04:12:29.677Z,110.39,110.39,110.1,110.1,2025-10-28T04:12:29.677Z
baumxp,5m,2025-10-28T04:12:39.677Z,110.43,110.65,110.43,110.65,2025-10-28T04:12:39.677Z
baumxp,5m,2025-10-28T04:12:49.677Z,112.86,112.86,112.56,112.56,2025-10-28T04:12:49.677Z
baumxp,5m,2025-10-28T04:12:59.677Z,110.31,110.31,109.35,109.35,2025-10-28T04:12:59.677Z
baumxp,5m,2025-10-28T04:13:09.677Z,111.54,111.54,110.92,110.92,2025-10-28T04:13:09.677Z
baumxp,5m,2025-10-28T04:13:19.677Z,113.14,114.18,113.14,114.18,2025-10-28T04:13:19.677Z
baumxp,5m,2025-10-28T04:13:29.677Z,113.53,113.53,113.28,113.28,2025-10-28T04:13:29.677Z
baumxp,5m,2025-10-28T04:42:19.671Z,112.57,112.57,110.32,110.32,2025-10-28T04:42:19.671Z
baumxp,5m,2025-10-28T04:42:29.671Z,109.16,109.44,109.16,109.44,2025-10-28T04:42:29.671Z
baumxp,5m,2025-10-28T04:42:39.671Z,108.45,108.45,106.78,106.78,2025-10-28T04:42:39.671Z
baumxp,5m,2025-10-28T04:42:49.671Z,108.58,108.58,106.41,106.41,2025-10-28T04:42:49.671Z
baumxp,5m,2025-10-28T04:42:59.671Z,108.54,108.54,107.85,107.85,2025-10-28T04:42:59.671Z
baumxp,5m,2025-10-28T04:43:09.671Z,106.27,108.1,106.27,108.1,2025-10-28T04:43:09.671Z
baumxp,5m,2025-10-28T04:43:19.671Z,107.23,107.23,107.23,107.23,2025-10-28T04:43:19.671Z
baumxp,5m,2025-10-28T05:31:45.350Z,104.85,104.85,104.85,104.85,2025-10-28T05:31:45.350Z
baumxp,5m,2025-10-28T05:36:46.411Z,111.94,113.39,108.3,110.41,2025-10-28T05:36:46.411Z
baumxp,5m,2025-10-28T10:59:15.041Z,106.95,106.95,106.95,106.95,2025-10-28T10:59:15.041Z
baumxp,5m,2025-10-28T11:15:02.069Z,106.95,117.26,106.95,114.09,2025-10-28T11:15:02.069Z
baumxp,5m,2025-10-28T11:31:02.073Z,106.95,110.83,104.23,110.83,2025-10-28T11:31:02.073Z
baumxp,5m,2025-10-28T11:37:44.357Z,104.74,104.74,104.74,104.74,2025-10-28T11:37:44.357Z
baumxp,5m,2025-10-28T11:42:47.062Z,112.58,114.83,112.58,114.83,2025-10-28T11:42:47.062Z
baumxp,5m,2025-10-28T11:50:21.058Z,106.95,106.95,106.95,106.95,2025-10-28T11:50:21.058Z
baumxp,5m,2025-10-28T11:57:02.063Z,106.95,112.86,106.95,111.57,2025-10-28T11:57:02.063Z
baumxp,5m,2025-10-28T12:02:02.078Z,104.91,111.19,104.91,111.19,2025-10-28T12:02:02.078Z
baumxp,5m,2025-10-28T12:02:03.622Z,108.67,110.73,108.67,110.73,2025-10-28T12:02:03.622Z
baumxp,5m,2025-10-28T12:07:03.622Z,110.5,110.97,108.75,108.75,2025-10-28T12:07:03.622Z
baumxp,5m,2025-10-28T12:12:03.622Z,110.33,112.32,110.33,112.32,2025-10-28T12:12:03.622Z
baumxp,5m,2025-10-28T12:17:03.622Z,109.6,109.6,104.95,106.39,2025-10-28T12:17:03.622Z
baumxp,5m,2025-10-28T12:22:03.622Z,113.2,113.2,113.2,113.2,2025-10-28T12:22:03.622Z
baumxp,5m,2025-10-28T12:27:03.622Z,111.72,115.95,111.05,115.95,2025-10-28T12:27:03.622Z
baumxp,5m,2025-10-28T12:32:03.622Z,105.52,105.52,105.52,105.52,2025-10-28T12:32:03.622Z
baumxp,5m,2025-10-28T12:37:07.046Z,109.09,114.16,107.63,111,2025-10-28T12:37:07.046Z
baumxp,5m,2025-10-28T12:43:02.042Z,105.22,110.38,105.17,110.38,2025-10-28T12:43:02.042Z
baumxp,5m,2025-10-28T12:51:44.033Z,109.1,114.88,106.41,107.15,2025-10-28T12:51:44.033Z
baumxp,5m,2025-10-28T12:56:47.294Z,107.15,115.67,106.69,106.69,2025-10-28T12:56:47.294Z
baumxp,5m,2025-10-28T13:01:52.666Z,106.69,113.05,105.53,112.57,2025-10-28T13:01:52.666Z
baumxp,5m,2025-10-28T13:03:02.060Z,104.54,110.65,103.22,107.82,2025-10-28T13:03:02.060Z
baumxp,5m,2025-10-28T13:06:54.296Z,112.57,113.74,105.05,112.53,2025-10-28T13:06:54.296Z
baumxp,5m,2025-10-28T13:13:02.058Z,106.95,109,105,108.63,2025-10-28T13:13:02.058Z
baumxp,5m,2025-10-28T13:25:02.076Z,104.56,107.71,102.47,107.71,2025-10-28T13:25:02.076Z
baumxp,5m,2025-10-28T14:15:07.623Z,110.02,114.28,104.21,110.15,2025-10-28T14:15:07.623Z
baumxp,5m,2025-10-28T19:43:02.300Z,110.64,113.02,103.38,107.88,2025-10-28T19:43:02.300Z
baumxp,5m,2025-10-28T19:49:36.010Z,108.73,114.23,105.4,109.26,2025-10-28T19:49:36.010Z
baumxp,5m,2025-10-28T19:56:01.884Z,111.62,113.85,104.97,113.85,2025-10-28T19:56:01.884Z
baumxp,5m,2025-10-29T00:36:01.586Z,110.4,112.64,105.89,111.57,2025-10-29T00:36:01.586Z
baumxp,5m,2025-10-29T15:45:07.794Z,109.69,113.89,106.5,112.06,2025-10-29T15:45:07.794Z
baumxp,5m,2025-10-30T23:40:41.421Z,108.66,111.65,107.63,111.65,2025-10-30T23:40:41.421Z
baumxp,5m,2025-10-30T23:40:57.480Z,111.65,112.12,108.98,111.84,2025-10-30T23:40:57.480Z
baumxp,5m,2025-10-30T23:43:37.284Z,112.2,113.73,111.22,111.46,2025-10-30T23:43:37.284Z
baumxp,5m,2025-10-30T23:43:51.613Z,111.46,111.46,108.9,108.9,2025-10-30T23:43:51.613Z
baumxp,5m,2025-10-30T23:44:02.095Z,108.9,109.35,106.72,109.35,2025-10-30T23:44:02.095Z
baumxp,5m,2025-10-30T23:44:12.757Z,109.35,110.15,109.13,109.5,2025-10-30T23:44:12.757Z
baumxp,5m,2025-10-30T23:44:26.876Z,109.5,113.22,109.5,111.5,2025-10-30T23:44:26.876Z
baumxp,5m,2025-10-30T23:44:41.018Z,111.5,111.5,105.93,105.93,2025-10-30T23:44:41.018Z
baumxp,5m,2025-10-30T23:44:55.208Z,105.93,109.56,105.93,109.56,2025-10-30T23:44:55.208Z
baumxp,5m,2025-10-30T23:45:09.403Z,109.56,109.56,107.64,108.89,2025-10-30T23:45:09.403Z
baumxp,5m,2025-10-30T23:45:22.693Z,108.89,113.14,108.89,113.14,2025-10-30T23:45:22.693Z
baumxp,5m,2025-10-30T23:45:33.017Z,113.14,116.67,113.14,116.67,2025-10-30T23:45:33.017Z
baumxp,5m,2025-10-30T23:45:44.701Z,116.67,116.67,110.7,110.7,2025-10-30T23:45:44.701Z
baumxp,5m,2025-10-30T23:45:58.805Z,110.7,111.3,108.04,108.04,2025-10-30T23:45:58.805Z
baumxp,5m,2025-10-30T23:46:12.892Z,108.04,111.58,108.04,111.58,2025-10-30T23:46:12.892Z
baumxp,5m,2025-10-30T23:46:27.003Z,111.58,111.58,108.53,108.53,2025-10-30T23:46:27.003Z
baumxp,5m,2025-10-30T23:50:35.433Z,112.07,112.86,110.26,112.86,2025-10-30T23:50:35.433Z
baumxp,5m,2025-10-30T23:50:48.037Z,112.86,112.86,110.07,110.46,2025-10-30T23:50:48.037Z
baumxp,5m,2025-11-07T02:45:02.812Z,110,111.31,107.69,108.73,
baumxp,5m,2025-11-07T02:50:01.963Z,108.73,112.84,102.83,106.26,
baumxp,5m,2025-11-07T02:55:00.913Z,110,110,108.21,108.21,
baumxp,5m,2025-11-07T03:00:03.595Z,109.56,112.22,106.08,111.04,
baumxp,5m,2025-11-07T03:05:00.803Z,109.26,115.54,105.57,112.56,
baumxp,5m,2025-11-07T03:15:00.426Z,110,113.26,106.47,109.47,
baumxp,5m,2025-11-07T03:20:00.774Z,110,110.83,108.65,110.83,
baumxp,5m,2025-11-07T03:25:00.712Z,110.83,113.98,107.07,109.24,
baumxp,5m,2025-11-07T03:30:04.050Z,109.24,113.06,104.57,106.47,
baumxp,5m,2025-11-07T03:35:00.831Z,106.47,114.8,103.59,108.25,
baumxp,5m,2025-11-07T03:40:02.360Z,110.17,112.95,105.33,112.71,
baumxp,5m,2025-11-07T03:45:01.843Z,112.71,113.26,104.24,108.08,
baumxp,5m,2025-11-07T03:50:00.970Z,108.08,115.2,106.27,112.17,
baumxp,5m,2025-11-07T03:55:00.796Z,110,111.61,107.42,108.18,
baumxp,5m,2025-11-07T04:00:00.967Z,111.42,116.69,107.26,108.28,
baumxp,5m,2025-11-07T04:05:00.680Z,108.28,113.17,105.32,109.09,
baumxp,5m,2025-11-07T04:10:00.989Z,107.39,114.56,106.88,114.52,
baumxp,5m,2025-11-07T04:15:00.993Z,114.52,114.52,104.79,105.56,
baumxp,5m,2025-11-07T04:20:00.992Z,108.35,114.17,104.87,109.29,
baumxp,5m,2025-11-07T04:25:00.678Z,113.71,116.44,103.85,106.1,
baumxp,5m,2025-11-07T04:30:02.905Z,106.1,113.03,104.32,108.68,
baumxp,5m,2025-11-07T04:35:01.207Z,108.68,114.27,103.43,109.28,
baumxp,5m,2025-11-07T04:40:02.209Z,109.09,114.2,104.97,109.4,
baumxp,5m,2025-11-07T04:45:02.614Z,110,112.77,104.55,104.55,
baumxp,5m,2025-11-07T04:50:01.027Z,109.26,114.19,104.71,112.73,
baumxp,5m,2025-11-07T04:55:00.813Z,110,113.39,105.87,110.39,
baumxp,5m,2025-11-07T05:00:01.239Z,110.39,113.46,107.31,109,
baumxp,5m,2025-11-07T05:05:01.132Z,108.07,113.94,105.84,110.96,
baumxp,5m,2025-11-07T05:10:02.249Z,109.69,112.83,103.83,109.39,
baumxp,5m,2025-11-07T05:15:02.064Z,113.59,116,108.75,110.7,
baumxp,5m,2025-11-07T05:24:42.991Z,111.7,116.22,103.35,110.59,
baumxp,5m,2025-11-07T05:25:01.150Z,109.52,115.6,106.63,107.84,
baumxp,5m,2025-11-07T05:40:02.263Z,107.84,112.58,107.09,112.58,
baumxp,5m,2025-11-07T05:45:01.921Z,112.58,113.7,104.64,110.4,
baumxp,5m,2025-11-07T05:50:02.489Z,110.4,112.72,102.76,107.93,
baumxp,5m,2025-11-07T05:55:00.942Z,107.93,114.13,105.28,109.48,
baumxp,5m,2025-11-07T06:00:42.033Z,109.48,116.17,108.79,112.63,
baumxp,5m,2025-11-07T06:05:00.887Z,109.72,114.88,107.91,114.68,
baumxp,5m,2025-11-07T06:10:02.319Z,114.68,115.42,106.78,110.53,
baumxp,5m,2025-11-07T06:15:02.501Z,110.53,113.23,105.99,107.12,
baumxp,5m,2025-11-07T06:22:30.008Z,107.12,113.34,105.29,109.86,
baumxp,5m,2025-11-07T06:26:19.990Z,110.65,113.99,107.21,113.99,
baumxp,5m,2025-11-07T06:31:14.085Z,110.27,114.14,110.16,110.6,
