valueId,timeframe,ts,open,high,low,close,time
dsgmxp,15m,2025-10-28T05:27:33.678Z,95.5,95.5,95.5,95.5,2025-10-28T05:27:33.678Z
dsgmxp,15m,2025-10-28T10:59:15.041Z,95.08,95.08,95.08,95.08,2025-10-28T10:59:15.041Z
dsgmxp,15m,2025-10-28T11:40:26.082Z,95.29,95.29,95.29,95.29,2025-10-28T11:40:26.082Z
dsgmxp,15m,2025-10-28T12:00:58.622Z,94.13,94.13,94.13,94.13,2025-10-28T12:00:58.622Z
dsgmxp,15m,2025-10-28T12:15:58.622Z,91.82,97.34,91.56,95.97,2025-10-28T12:15:58.622Z
dsgmxp,15m,2025-10-28T12:30:58.622Z,91.61,96.42,91.61,95.96,2025-10-28T12:30:58.622Z
dsgmxp,15m,2025-10-28T12:51:44.033Z,95.53,100.64,91.5,98.73,2025-10-28T12:51:44.033Z
dsgmxp,15m,2025-10-28T13:37:02.060Z,95.09,98.86,94.53,97.51,2025-10-28T13:37:02.060Z
dsgmxp,15m,2025-11-07T02:45:02.812Z,95,99.89,93.66,97.2,
dsgmxp,15m,2025-11-07T03:00:03.595Z,95,101.54,93.12,94.24,
dsgmxp,15m,2025-11-07T03:15:00.426Z,95,100.05,92.08,98.11,
dsgmxp,15m,2025-11-07T03:30:04.050Z,95,98.25,91.72,93.69,
dsgmxp,15m,2025-11-07T03:45:01.843Z,94.01,99.14,89.08,93.91,
dsgmxp,15m,2025-11-07T04:00:00.967Z,93.91,99.75,89.29,95.78,
dsgmxp,15m,2025-11-07T04:15:00.993Z,96.09,99.29,91.52,94.14,
dsgmxp,15m,2025-11-07T04:30:02.905Z,94.14,100.58,90.63,94.12,
dsgmxp,15m,2025-11-07T04:45:02.614Z,95,96.85,91.95,94.88,
dsgmxp,15m,2025-11-07T05:00:01.239Z,95,98.38,90.89,91.98,
dsgmxp,15m,2025-11-07T05:15:02.064Z,91.57,99.82,90.62,95.53,
dsgmxp,15m,2025-11-07T05:45:01.921Z,95.53,99.4,91.64,91.64,
dsgmxp,15m,2025-11-07T06:00:42.033Z,91.64,99.39,89.9,96.75,
dsgmxp,15m,2025-11-07T06:15:02.501Z,96.7,100.75,91.62,94.06,
