valueId,timeframe,ts,open,high,low,close,time
dsgmxp,1h,2025-10-28T05:31:45.350Z,94.16,94.16,94.16,94.16,2025-10-28T05:31:45.350Z
dsgmxp,1h,2025-10-28T10:59:15.041Z,95.08,95.08,95.08,95.08,2025-10-28T10:59:15.041Z
dsgmxp,1h,2025-10-28T12:00:58.622Z,94.13,94.13,94.13,94.13,2025-10-28T12:00:58.622Z
dsgmxp,1h,2025-10-28T13:03:02.060Z,92.28,98.34,91.89,94.02,2025-10-28T13:03:02.060Z
dsgmxp,1h,2025-11-07T03:00:03.595Z,95,101.54,93.12,94.24,
dsgmxp,1h,2025-11-07T04:00:00.967Z,95,99.75,89.08,95.78,
dsgmxp,1h,2025-11-07T05:00:01.239Z,95,98.38,90.89,91.98,
dsgmxp,1h,2025-11-07T06:00:42.033Z,91.98,99.4,89.9,96.75,
dsgmxp,1h,2025-11-07T07:06:13.855Z,96.75,95.73,95,95.73,
dsgmxp,1h,2025-11-07T08:00:04.388Z,95.73,99.8,89.75,93.52,
dsgmxp,1h,2025-11-07T09:00:04.229Z,93.52,100.97,88.51,93.96,
dsgmxp,1h,2025-11-07T10:00:04.167Z,93.96,100.24,89.95,97.41,
dsgmxp,1h,2025-11-07T11:00:04.693Z,97.41,101.9,90.65,93.26,
dsgmxp,1h,2025-11-07T12:00:04.115Z,93.26,101.01,90.84,95.6,
dsgmxp,1h,2025-11-07T13:00:04.049Z,95.6,99.05,89.43,96.15,
dsgmxp,1h,2025-11-07T14:00:02.938Z,96.15,101.52,87.17,95.28,
dsgmxp,1h,2025-11-07T14:57:22.780Z,96.9,95.46,95,95.46,
dsgmxp,1h,2025-11-07T15:25:02.296Z,92.33,92.33,92.33,92.33,
dsgmxp,1h,2025-11-07T16:55:22.015Z,95.37,95.54,95,95.54,
dsgmxp,1h,2025-11-07T21:10:08.433Z,94.06,94.06,92.32,92.32,
dsgmxp,1h,2025-11-08T13:59:59.468Z,95.94,95.94,94.35,94.35,
dsgmxp,1h,2025-11-08T14:03:06.469Z,95.24,95.24,95.24,95.24,
dsgmxp,1h,2025-11-08T15:45:21.376Z,93.06,93.06,93.06,93.06,
dsgmxp,1h,2025-11-08T16:59:53.405Z,92.79,95,94.41,94.41,
dsgmxp,1h,2025-11-08T17:50:30.980Z,94.35,95,94.22,94.22,
dsgmxp,1h,2025-11-08T18:04:01.240Z,95.74,96.1,95.74,96.1,
dsgmxp,1h,2025-11-08T19:49:55.521Z,96.7,96.7,96.29,96.29,
