valueId,timeframe,ts,open,high,low,close,time
ggramm,4h,2025-10-28T05:31:45.350Z,41.73,41.73,41.73,41.73,2025-10-28T05:31:45.350Z
ggramm,4h,2025-10-28T10:00:15.595Z,40.9,40.9,40.9,40.9,2025-10-28T10:00:15.595Z
ggramm,4h,2025-11-07T04:00:00.967Z,41,44.22,39.2,41.27,
ggramm,4h,2025-11-07T08:00:04.388Z,41.27,46.23,40.62,43.98,
ggramm,4h,2025-11-07T12:00:04.115Z,43.98,45.72,40.24,42.96,
ggramm,4h,2025-11-07T15:25:02.296Z,43.57,43.57,43.57,43.57,
ggramm,4h,2025-11-07T16:44:01.415Z,42.9,42.9,42.66,42.66,
ggramm,4h,2025-11-07T21:10:08.433Z,42.93,43.79,42.93,43.79,
ggramm,4h,2025-11-08T15:45:21.376Z,44.06,44.06,44.06,44.06,
ggramm,4h,2025-11-08T19:50:04.912Z,43.86,43.2,43,43.2,
