valueId,timeframe,ts,open,high,low,close,time
ggramm,5m,2025-10-28T04:12:29.677Z,41.48,41.48,41.02,41.02,2025-10-28T04:12:29.677Z
ggramm,5m,2025-10-28T04:12:39.677Z,41.08,41.08,40.26,40.26,2025-10-28T04:12:39.677Z
ggramm,5m,2025-10-28T04:12:49.677Z,39.9,40.28,39.9,40.28,2025-10-28T04:12:49.677Z
ggramm,5m,2025-10-28T04:12:59.677Z,41.09,41.09,40.27,40.27,2025-10-28T04:12:59.677Z
ggramm,5m,2025-10-28T04:13:09.677Z,41.01,41.01,40.25,40.25,2025-10-28T04:13:09.677Z
ggramm,5m,2025-10-28T04:13:19.677Z,39.45,39.96,39.45,39.96,2025-10-28T04:13:19.677Z
ggramm,5m,2025-10-28T04:13:29.677Z,40.44,40.44,40.41,40.41,2025-10-28T04:13:29.677Z
ggramm,5m,2025-10-28T04:42:19.671Z,41.25,41.25,40.6,40.6,2025-10-28T04:42:19.671Z
ggramm,5m,2025-10-28T04:42:29.671Z,40.21,40.21,39.82,39.82,2025-10-28T04:42:29.671Z
ggramm,5m,2025-10-28T04:42:39.671Z,39.84,40.64,39.84,40.64,2025-10-28T04:42:39.671Z
ggramm,5m,2025-10-28T04:42:49.671Z,40.13,40.13,39.72,39.72,2025-10-28T04:42:49.671Z
ggramm,5m,2025-10-28T05:31:45.350Z,41.73,41.73,41.73,41.73,2025-10-28T05:31:45.350Z
ggramm,5m,2025-10-28T05:36:46.411Z,40.7,42.64,39.95,41.52,2025-10-28T05:36:46.411Z
ggramm,5m,2025-10-28T10:00:15.595Z,40.9,40.9,40.9,40.9,2025-10-28T10:00:15.595Z
ggramm,5m,2025-10-28T10:59:15.041Z,41.27,41.27,41.27,41.27,2025-10-28T10:59:15.041Z
ggramm,5m,2025-10-28T11:40:26.082Z,40.9,40.9,40.9,40.9,2025-10-28T11:40:26.082Z
ggramm,5m,2025-10-28T11:50:21.058Z,41.74,41.74,41.74,41.74,2025-10-28T11:50:21.058Z
ggramm,5m,2025-10-28T12:00:58.622Z,41.38,41.38,41.38,41.38,2025-10-28T12:00:58.622Z
ggramm,5m,2025-10-28T12:05:58.622Z,42.75,42.75,40.66,40.99,2025-10-28T12:05:58.622Z
ggramm,5m,2025-10-28T12:10:58.622Z,41.17,41.17,41.17,41.17,2025-10-28T12:10:58.622Z
ggramm,5m,2025-10-28T12:11:02.049Z,41.56,42.14,41.22,41.71,2025-10-28T12:11:02.049Z
ggramm,5m,2025-10-28T12:15:58.622Z,42.42,42.7,39.58,39.58,2025-10-28T12:15:58.622Z
ggramm,5m,2025-10-28T12:20:58.622Z,40.02,42.67,40.02,42.46,2025-10-28T12:20:58.622Z
ggramm,5m,2025-10-28T12:25:58.622Z,39.35,41.6,39.35,40.23,2025-10-28T12:25:58.622Z
ggramm,5m,2025-10-28T12:30:58.622Z,40.81,42.01,39.66,39.66,2025-10-28T12:30:58.622Z
ggramm,5m,2025-10-28T12:35:58.622Z,40.52,40.52,40.52,40.52,2025-10-28T12:35:58.622Z
ggramm,5m,2025-10-28T12:41:02.074Z,41.44,41.82,39.38,39.38,2025-10-28T12:41:02.074Z
ggramm,5m,2025-10-28T12:51:44.033Z,41.35,42.5,39.95,40.73,2025-10-28T12:51:44.033Z
ggramm,5m,2025-10-28T12:56:47.294Z,40.73,43.12,39.99,42.44,2025-10-28T12:56:47.294Z
