valueId,timeframe,ts,open,high,low,close,time
ghor,1h,2025-10-28T05:31:45.350Z,56.06,56.06,56.06,56.06,2025-10-28T05:31:45.350Z
ghor,1h,2025-10-28T11:00:39.157Z,55.33,55.33,55.33,55.33,2025-10-28T11:00:39.157Z
ghor,1h,2025-10-28T12:00:58.622Z,56.32,56.32,56.32,56.32,2025-10-28T12:00:58.622Z
ghor,1h,2025-11-07T03:00:03.595Z,55,57.28,54.32,54.32,
ghor,1h,2025-11-07T04:00:00.967Z,55,57.76,52.33,55.07,
ghor,1h,2025-11-07T05:00:01.239Z,55,56.31,52.3,52.64,
ghor,1h,2025-11-07T06:00:42.033Z,52.64,58,52.18,56.89,
ghor,1h,2025-11-07T07:06:13.929Z,56.89,54.09,54,54.09,
ghor,1h,2025-11-07T08:00:04.388Z,54.09,56.66,51.07,54.83,
ghor,1h,2025-11-07T09:00:04.229Z,54.83,57.1,50.22,54.88,
ghor,1h,2025-11-07T10:00:04.167Z,54.88,57.51,50.86,51.37,
ghor,1h,2025-11-07T11:00:04.693Z,51.37,57.4,50.96,56.25,
ghor,1h,2025-11-07T12:00:04.115Z,56.25,57.72,50.7,54.57,
ghor,1h,2025-11-07T13:00:04.049Z,54.57,56.14,51,53.39,
ghor,1h,2025-11-07T14:00:02.938Z,53.39,56.79,50.93,56.61,
ghor,1h,2025-11-07T14:57:22.780Z,54.99,54,53.48,53.48,
ghor,1h,2025-11-07T15:25:02.296Z,54.6,54.6,54.6,54.6,
ghor,1h,2025-11-07T16:55:22.015Z,54.64,55.03,54,55.03,
ghor,1h,2025-11-07T21:10:08.433Z,55.04,55.04,54.49,54.49,
ghor,1h,2025-11-08T14:00:09.019Z,54.79,54,53.77,53.77,
ghor,1h,2025-11-08T14:03:06.469Z,52.94,52.94,52.94,52.94,
ghor,1h,2025-11-08T15:45:21.376Z,52.88,52.88,52.88,52.88,
ghor,1h,2025-11-08T16:58:28.625Z,52.92,52.92,52.34,52.34,
ghor,1h,2025-11-08T17:49:21.200Z,53.48,54,53.26,53.26,
ghor,1h,2025-11-08T18:04:01.240Z,54.08,54.08,53.78,53.78,
ghor,1h,2025-11-08T19:50:04.912Z,52.92,54,52.92,52.92,
