valueId,timeframe,ts,open,high,low,close,time
ghor,5m,2025-10-28T04:12:29.677Z,55.86,55.86,55.77,55.77,2025-10-28T04:12:29.677Z
ghor,5m,2025-10-28T04:12:39.677Z,55.52,55.52,54.45,54.45,2025-10-28T04:12:39.677Z
ghor,5m,2025-10-28T04:12:49.677Z,55.25,55.71,55.25,55.71,2025-10-28T04:12:49.677Z
ghor,5m,2025-10-28T04:12:59.677Z,55.38,55.44,55.38,55.44,2025-10-28T04:12:59.677Z
ghor,5m,2025-10-28T04:13:09.677Z,55.7,55.7,54.59,54.59,2025-10-28T04:13:09.677Z
ghor,5m,2025-10-28T04:13:19.677Z,54.36,54.74,54.36,54.74,2025-10-28T04:13:19.677Z
ghor,5m,2025-10-28T04:13:29.677Z,53.65,53.65,52.58,52.58,2025-10-28T04:13:29.677Z
ghor,5m,2025-10-28T04:42:29.671Z,55.14,55.14,54.68,54.68,2025-10-28T04:42:29.671Z
ghor,5m,2025-10-28T04:42:39.671Z,54.66,54.66,54.66,54.66,2025-10-28T04:42:39.671Z
ghor,5m,2025-10-28T04:42:49.671Z,54.9,54.9,54.9,54.9,2025-10-28T04:42:49.671Z
ghor,5m,2025-10-28T05:27:33.678Z,55.45,55.45,55.45,55.45,2025-10-28T05:27:33.678Z
ghor,5m,2025-10-28T05:34:01.411Z,56.1,56.1,56.1,56.1,2025-10-28T05:34:01.411Z
ghor,5m,2025-10-28T11:00:11.090Z,55.33,55.33,55.33,55.33,2025-10-28T11:00:11.090Z
ghor,5m,2025-10-28T11:40:26.082Z,55.69,55.69,55.69,55.69,2025-10-28T11:40:26.082Z
ghor,5m,2025-10-28T11:50:21.058Z,56.26,56.26,56.26,56.26,2025-10-28T11:50:21.058Z
ghor,5m,2025-10-28T12:00:58.622Z,56.32,56.32,56.32,56.32,2025-10-28T12:00:58.622Z
ghor,5m,2025-10-28T12:05:58.622Z,53.07,55.25,52.05,55.25,2025-10-28T12:05:58.622Z
ghor,5m,2025-10-28T12:10:58.622Z,56.99,56.99,56.99,56.99,2025-10-28T12:10:58.622Z
ghor,5m,2025-10-28T12:11:02.049Z,54.64,55.07,53.36,55.07,2025-10-28T12:11:02.049Z
ghor,5m,2025-10-28T12:15:58.622Z,54.4,55.99,53.55,53.55,2025-10-28T12:15:58.622Z
ghor,5m,2025-10-28T12:20:58.622Z,52.52,54.9,52.52,54.23,2025-10-28T12:20:58.622Z
ghor,5m,2025-10-28T12:25:58.622Z,53.29,55.11,53.29,54.85,2025-10-28T12:25:58.622Z
ghor,5m,2025-10-28T12:30:58.622Z,54.64,56.6,54.37,55.61,2025-10-28T12:30:58.622Z
ghor,5m,2025-10-28T12:35:58.622Z,55.3,55.3,55.3,55.3,2025-10-28T12:35:58.622Z
ghor,5m,2025-10-28T12:51:44.033Z,55.74,56.81,53.18,54.66,2025-10-28T12:51:44.033Z
ghor,5m,2025-10-28T12:56:47.294Z,54.66,55.92,50.86,55.3,2025-10-28T12:56:47.294Z
ghor,5m,2025-10-28T13:01:52.666Z,55.3,56.99,53.2,53.2,2025-10-28T13:01:52.666Z
ghor,5m,2025-10-28T13:06:54.296Z,53.2,57.4,53.2,55.31,2025-10-28T13:06:54.296Z
ghor,5m,2025-10-28T14:15:07.623Z,54.58,56.15,52.65,53.69,2025-10-28T14:15:07.623Z
ghor,5m,2025-10-28T19:43:02.300Z,54.4,56.62,52.54,54.93,2025-10-28T19:43:02.300Z
ghor,5m,2025-10-28T19:49:36.010Z,55.79,57.25,53.09,53.58,2025-10-28T19:49:36.010Z
ghor,5m,2025-10-28T19:56:01.884Z,55.51,57.66,54.15,55.34,2025-10-28T19:56:01.884Z
ghor,5m,2025-10-29T00:36:01.586Z,54.18,56.69,52.84,56.17,2025-10-29T00:36:01.586Z
ghor,5m,2025-10-29T15:45:07.794Z,55.29,58.2,52.64,54.28,2025-10-29T15:45:07.794Z
ghor,5m,2025-10-30T23:40:41.421Z,55.3,57.28,55.3,57.06,2025-10-30T23:40:41.421Z
ghor,5m,2025-10-30T23:40:57.480Z,57.06,57.06,53.8,53.8,2025-10-30T23:40:57.480Z
ghor,5m,2025-10-30T23:43:37.284Z,54.74,56.15,53.32,53.46,2025-10-30T23:43:37.284Z
ghor,5m,2025-10-30T23:43:51.613Z,53.46,55.3,53.46,55.3,2025-10-30T23:43:51.613Z
ghor,5m,2025-10-30T23:44:02.095Z,55.3,56.8,55.3,56.75,2025-10-30T23:44:02.095Z
ghor,5m,2025-10-30T23:44:12.757Z,56.75,56.75,53.88,54.77,2025-10-30T23:44:12.757Z
ghor,5m,2025-10-30T23:44:26.876Z,54.77,56.02,54.77,54.9,2025-10-30T23:44:26.876Z
ghor,5m,2025-10-30T23:44:41.018Z,54.9,55.19,54.09,55.17,2025-10-30T23:44:41.018Z
ghor,5m,2025-10-30T23:44:55.208Z,55.17,56.94,55.17,55.4,2025-10-30T23:44:55.208Z
ghor,5m,2025-10-30T23:45:09.403Z,55.4,55.86,54.9,55.85,2025-10-30T23:45:09.403Z
ghor,5m,2025-10-30T23:45:22.693Z,55.85,57.2,55.52,55.52,2025-10-30T23:45:22.693Z
ghor,5m,2025-10-30T23:45:33.017Z,55.52,55.63,55.39,55.48,2025-10-30T23:45:33.017Z
ghor,5m,2025-10-30T23:45:44.701Z,55.48,56.19,55.28,55.28,2025-10-30T23:45:44.701Z
ghor,5m,2025-10-30T23:45:58.805Z,55.28,55.28,53.63,54.62,2025-10-30T23:45:58.805Z
ghor,5m,2025-10-30T23:46:12.892Z,54.62,54.62,52.44,52.61,2025-10-30T23:46:12.892Z
ghor,5m,2025-10-30T23:46:27.003Z,52.61,52.87,52.49,52.49,2025-10-30T23:46:27.003Z
ghor,5m,2025-10-30T23:50:35.433Z,55.07,55.73,54.56,55.66,2025-10-30T23:50:35.433Z
ghor,5m,2025-10-30T23:50:48.037Z,55.66,56.38,55.12,55.12,2025-10-30T23:50:48.037Z
ghor,5m,2025-11-07T02:45:02.812Z,55,55.39,52.16,55.39,
ghor,5m,2025-11-07T02:50:01.963Z,55.39,56.79,53.21,55.16,
ghor,5m,2025-11-07T02:55:00.913Z,55,55.83,55,55.83,
ghor,5m,2025-11-07T03:00:03.595Z,54.86,57.28,54.32,54.32,
ghor,5m,2025-11-07T03:05:00.803Z,55.6,56.99,52.69,53.08,
ghor,5m,2025-11-07T03:15:00.426Z,55,57.81,53.51,56.42,
ghor,5m,2025-11-07T03:20:00.774Z,55,55,53.9,54.48,
ghor,5m,2025-11-07T03:25:00.712Z,54.48,56.91,53.02,55.02,
ghor,5m,2025-11-07T03:30:04.050Z,55.02,57.56,54.01,55.53,
ghor,5m,2025-11-07T03:35:00.831Z,55.53,56.95,53.5,55.16,
ghor,5m,2025-11-07T03:40:02.360Z,55.42,56.58,52.46,54.08,
ghor,5m,2025-11-07T03:45:01.843Z,54.08,55.91,53.15,53.15,
ghor,5m,2025-11-07T03:50:00.970Z,53.15,57.76,53.15,55.33,
ghor,5m,2025-11-07T03:55:00.834Z,55,56.27,53.58,53.58,
ghor,5m,2025-11-07T04:00:00.967Z,54.07,57.49,54.07,55.07,
ghor,5m,2025-11-07T04:05:00.680Z,55.07,56.1,52.74,55.66,
ghor,5m,2025-11-07T04:10:00.989Z,53.74,56.7,53.46,55.17,
ghor,5m,2025-11-07T04:15:00.993Z,55.17,57.05,53.01,54.75,
ghor,5m,2025-11-07T04:20:00.992Z,54.16,57.28,51.86,55.81,
ghor,5m,2025-11-07T04:25:00.678Z,56.79,58.33,53.36,54.55,
ghor,5m,2025-11-07T04:30:02.932Z,54,57.53,53.47,55.05,
ghor,5m,2025-11-07T04:35:01.207Z,52.32,58.9,52.32,55.74,
ghor,5m,2025-11-07T04:40:02.209Z,53.5,57.94,52.24,54.87,
ghor,5m,2025-11-07T04:45:02.614Z,55,56.52,53.43,54.75,
ghor,5m,2025-11-07T04:50:01.027Z,54.47,58.26,52.56,58.26,
ghor,5m,2025-11-07T04:55:00.813Z,55,55.63,52.3,52.3,
ghor,5m,2025-11-07T05:00:01.239Z,52.3,56.31,52.3,52.64,
ghor,5m,2025-11-07T05:05:01.132Z,54.81,57.18,52.15,53.77,
ghor,5m,2025-11-07T05:10:02.249Z,56.26,58.55,52.11,56.82,
ghor,5m,2025-11-07T05:15:02.064Z,54.21,55.56,54.21,55.56,
ghor,5m,2025-11-07T05:24:42.991Z,54.41,57.6,51.9,54.13,
ghor,5m,2025-11-07T05:25:01.150Z,55.67,57.17,51.72,55.86,
ghor,5m,2025-11-07T05:40:02.263Z,55.86,55.93,53.3,55.32,
ghor,5m,2025-11-07T05:45:01.921Z,55.32,58,53.64,56.01,
ghor,5m,2025-11-07T05:50:02.489Z,56.01,57.61,52.67,55.32,
ghor,5m,2025-11-07T05:55:00.942Z,55.32,55.93,52.85,53.53,
ghor,5m,2025-11-07T06:00:42.033Z,53.53,57.26,52.18,56.89,
ghor,5m,2025-11-07T06:05:00.887Z,55.76,58.11,53.84,56.81,
ghor,5m,2025-11-07T06:10:02.319Z,56.81,59.26,53.47,56,
ghor,5m,2025-11-07T06:15:02.501Z,56,57.02,53.08,53.53,
ghor,5m,2025-11-07T06:22:30.008Z,53.53,57.01,53.53,53.76,
ghor,5m,2025-11-07T06:26:19.990Z,53.97,57.27,52.89,56.12,
ghor,5m,2025-11-07T06:31:14.085Z,53.69,54.15,52.15,53.66,
ghor,5m,2025-11-07T06:35:00.673Z,53.66,56.11,54.33,54.98,
ghor,5m,2025-11-07T06:40:02.055Z,54.98,55.5,53.73,54.86,
ghor,5m,2025-11-07T06:45:40.979Z,54.86,54,53.05,53.5,
