valueId,timeframe,ts,open,high,low,close,time
gkrimi,1h,2025-10-28T05:31:45.350Z,43.42,43.42,43.42,43.42,2025-10-28T05:31:45.350Z
gkrimi,1h,2025-10-28T10:00:15.595Z,42.96,42.96,42.96,42.96,2025-10-28T10:00:15.595Z
gkrimi,1h,2025-10-28T11:00:39.157Z,43.16,43.16,43.16,43.16,2025-10-28T11:00:39.157Z
gkrimi,1h,2025-10-28T12:00:58.622Z,42.55,42.55,42.55,42.55,2025-10-28T12:00:58.622Z
gkrimi,1h,2025-11-07T03:00:03.595Z,42,43.43,40.98,41.71,
gkrimi,1h,2025-11-07T04:00:00.967Z,42,43.96,39.47,40.36,
gkrimi,1h,2025-11-07T05:00:01.239Z,42,44.4,39.98,41.76,
gkrimi,1h,2025-11-07T06:00:42.033Z,41.76,43.86,40.12,41.46,
gkrimi,1h,2025-11-07T07:06:13.929Z,41.46,44.29,44,44.29,
gkrimi,1h,2025-11-07T08:00:04.388Z,44.29,46,41.82,44.28,
gkrimi,1h,2025-11-07T09:00:04.229Z,44.28,46.28,41.79,43.76,
gkrimi,1h,2025-11-07T10:00:04.167Z,43.76,46.9,41.89,43.97,
gkrimi,1h,2025-11-07T11:00:04.693Z,43.97,46.83,41.83,43.44,
gkrimi,1h,2025-11-07T12:00:04.115Z,43.44,46.5,41.65,42.58,
gkrimi,1h,2025-11-07T13:00:04.049Z,42.58,46.47,41.73,44.29,
gkrimi,1h,2025-11-07T14:00:02.938Z,44.29,46.61,40.51,44.24,
gkrimi,1h,2025-11-07T14:57:22.780Z,43.12,44,43.45,43.45,
gkrimi,1h,2025-11-07T15:25:02.296Z,43.36,43.36,43.36,43.36,
gkrimi,1h,2025-11-07T16:44:21.039Z,44.32,44.32,44.32,44.32,
gkrimi,1h,2025-11-07T21:10:08.433Z,44.43,44.66,44.43,44.66,
gkrimi,1h,2025-11-08T14:00:09.019Z,43.35,44.42,44,44.42,
gkrimi,1h,2025-11-08T14:03:06.469Z,45.02,45.02,45.02,45.02,
gkrimi,1h,2025-11-08T15:45:21.376Z,43.85,43.85,43.85,43.85,
gkrimi,1h,2025-11-08T16:58:25.466Z,43.95,43.95,43.79,43.79,
gkrimi,1h,2025-11-08T17:49:21.200Z,44.29,44.61,44,44.61,
gkrimi,1h,2025-11-08T18:04:01.240Z,44.22,44.22,43.34,43.34,
gkrimi,1h,2025-11-08T19:50:04.912Z,44.01,44.83,44,44.83,
