valueId,timeframe,ts,open,high,low,close,time
gkrimi,5m,2025-10-28T04:12:39.677Z,41.85,41.85,41.01,41.01,2025-10-28T04:12:39.677Z
gkrimi,5m,2025-10-28T04:12:49.677Z,41.06,41.88,41.06,41.88,2025-10-28T04:12:49.677Z
gkrimi,5m,2025-10-28T04:12:59.677Z,41.88,41.9,41.88,41.9,2025-10-28T04:12:59.677Z
gkrimi,5m,2025-10-28T04:13:09.677Z,41.94,41.94,41.1,41.1,2025-10-28T04:13:09.677Z
gkrimi,5m,2025-10-28T04:13:19.677Z,41.23,42.05,41.23,42.05,2025-10-28T04:13:19.677Z
gkrimi,5m,2025-10-28T04:13:29.677Z,41.46,42.16,41.46,42.16,2025-10-28T04:13:29.677Z
gkrimi,5m,2025-10-28T04:42:19.671Z,42.72,42.72,41.87,41.87,2025-10-28T04:42:19.671Z
gkrimi,5m,2025-10-28T04:42:29.671Z,41.78,42.18,41.78,42.18,2025-10-28T04:42:29.671Z
gkrimi,5m,2025-10-28T04:42:39.671Z,41.34,41.9,41.34,41.9,2025-10-28T04:42:39.671Z
gkrimi,5m,2025-10-28T04:42:49.671Z,42.41,42.81,42.41,42.81,2025-10-28T04:42:49.671Z
gkrimi,5m,2025-10-28T04:43:19.671Z,41.1,41.1,41.1,41.1,2025-10-28T04:43:19.671Z
gkrimi,5m,2025-10-28T05:27:33.678Z,43.4,43.4,43.4,43.4,2025-10-28T05:27:33.678Z
gkrimi,5m,2025-10-28T05:34:01.411Z,42.97,42.97,42.97,42.97,2025-10-28T05:34:01.411Z
gkrimi,5m,2025-10-28T10:00:15.595Z,42.96,42.96,42.96,42.96,2025-10-28T10:00:15.595Z
gkrimi,5m,2025-10-28T10:59:15.041Z,43.23,43.23,43.23,43.23,2025-10-28T10:59:15.041Z
gkrimi,5m,2025-10-28T11:40:26.082Z,42.7,42.7,42.7,42.7,2025-10-28T11:40:26.082Z
gkrimi,5m,2025-10-28T11:50:21.058Z,43.9,43.9,43.9,43.9,2025-10-28T11:50:21.058Z
gkrimi,5m,2025-10-28T12:00:58.622Z,42.55,42.55,42.55,42.55,2025-10-28T12:00:58.622Z
gkrimi,5m,2025-10-28T12:05:58.622Z,40.31,40.93,39.25,40.87,2025-10-28T12:05:58.622Z
gkrimi,5m,2025-10-28T12:10:58.622Z,42.56,42.56,42.56,42.56,2025-10-28T12:10:58.622Z
gkrimi,5m,2025-10-28T12:11:02.049Z,43.09,43.09,41.69,42.62,2025-10-28T12:11:02.049Z
gkrimi,5m,2025-10-28T12:15:58.622Z,41.74,42.98,41.11,41.15,2025-10-28T12:15:58.622Z
gkrimi,5m,2025-10-28T12:20:58.622Z,42.07,42.93,41.17,41.99,2025-10-28T12:20:58.622Z
gkrimi,5m,2025-10-28T12:25:58.622Z,42.3,43.52,41.74,43.32,2025-10-28T12:25:58.622Z
gkrimi,5m,2025-10-28T12:30:58.622Z,40.89,42.28,40.89,41.6,2025-10-28T12:30:58.622Z
gkrimi,5m,2025-10-28T12:35:58.622Z,41.61,41.61,41.61,41.61,2025-10-28T12:35:58.622Z
gkrimi,5m,2025-10-28T12:44:02.404Z,42.9,44,42.57,42.57,2025-10-28T12:44:02.404Z
gkrimi,5m,2025-10-28T12:51:44.033Z,42.72,44.14,40.64,41.56,2025-10-28T12:51:44.033Z
gkrimi,5m,2025-10-28T12:56:47.294Z,41.56,44,39.61,41.25,2025-10-28T12:56:47.294Z
gkrimi,5m,2025-10-28T13:01:52.666Z,41.25,43.55,40.7,40.7,2025-10-28T13:01:52.666Z
gkrimi,5m,2025-10-28T13:06:54.296Z,40.7,42.88,39.77,41.75,2025-10-28T13:06:54.296Z
gkrimi,5m,2025-10-28T14:15:07.623Z,42.84,43.47,40.28,42.23,2025-10-28T14:15:07.623Z
gkrimi,5m,2025-10-28T19:43:02.300Z,41.69,44.04,39.66,42.75,2025-10-28T19:43:02.300Z
gkrimi,5m,2025-10-28T19:49:36.010Z,42.63,44.07,40.67,41.21,2025-10-28T19:49:36.010Z
gkrimi,5m,2025-10-28T19:56:01.884Z,42.61,43.26,40.37,41.46,2025-10-28T19:56:01.884Z
gkrimi,5m,2025-10-29T15:45:07.794Z,41.46,44.79,39.32,40.48,2025-10-29T15:45:07.794Z
gkrimi,5m,2025-10-30T23:40:41.421Z,41.94,43.42,41.34,42.5,2025-10-30T23:40:41.421Z
gkrimi,5m,2025-10-30T23:40:57.480Z,42.5,42.5,39.88,39.88,2025-10-30T23:40:57.480Z
gkrimi,5m,2025-10-30T23:43:37.284Z,42.84,44.17,41.39,44.17,2025-10-30T23:43:37.284Z
gkrimi,5m,2025-10-30T23:43:51.613Z,44.17,44.17,42.46,42.88,2025-10-30T23:43:51.613Z
gkrimi,5m,2025-10-30T23:44:02.095Z,42.88,42.88,41.34,42.17,2025-10-30T23:44:02.095Z
gkrimi,5m,2025-10-30T23:44:12.757Z,42.17,42.27,41.33,42.1,2025-10-30T23:44:12.757Z
gkrimi,5m,2025-10-30T23:44:26.876Z,42.1,42.25,40.77,40.77,2025-10-30T23:44:26.876Z
gkrimi,5m,2025-10-30T23:44:41.018Z,40.77,40.83,40.1,40.55,2025-10-30T23:44:41.018Z
gkrimi,5m,2025-10-30T23:44:55.208Z,40.55,42.68,40.55,42.68,2025-10-30T23:44:55.208Z
gkrimi,5m,2025-10-30T23:45:09.403Z,42.68,43.24,41.96,42.13,2025-10-30T23:45:09.403Z
gkrimi,5m,2025-10-30T23:45:22.693Z,42.13,42.13,41.15,41.15,2025-10-30T23:45:22.693Z
gkrimi,5m,2025-10-30T23:45:33.017Z,41.15,42.17,41.09,42.17,2025-10-30T23:45:33.017Z
gkrimi,5m,2025-10-30T23:45:44.701Z,42.17,44.59,42.17,44.59,2025-10-30T23:45:44.701Z
gkrimi,5m,2025-10-30T23:45:58.805Z,44.59,44.59,43.61,43.82,2025-10-30T23:45:58.805Z
gkrimi,5m,2025-10-30T23:46:12.892Z,43.82,43.82,42.84,43.7,2025-10-30T23:46:12.892Z
gkrimi,5m,2025-10-30T23:46:27.003Z,43.7,43.7,42.49,42.74,2025-10-30T23:46:27.003Z
gkrimi,5m,2025-10-30T23:50:35.433Z,42.17,42.17,39.82,39.82,2025-10-30T23:50:35.433Z
gkrimi,5m,2025-10-30T23:50:48.037Z,39.82,42.05,39.82,42.05,2025-10-30T23:50:48.037Z
gkrimi,5m,2025-11-07T02:45:02.812Z,42,43.89,41.99,41.99,
gkrimi,5m,2025-11-07T02:50:01.963Z,41.99,43.75,40.63,41.8,
gkrimi,5m,2025-11-07T02:55:00.913Z,42,42.57,42,42.57,
gkrimi,5m,2025-11-07T03:00:03.595Z,41.33,43.43,40.98,41.71,
gkrimi,5m,2025-11-07T03:05:00.803Z,41.15,44.16,39.87,41.17,
gkrimi,5m,2025-11-07T03:15:00.426Z,42,44.6,40.42,42.8,
gkrimi,5m,2025-11-07T03:20:00.774Z,42,42.11,41.8,41.8,
gkrimi,5m,2025-11-07T03:25:00.712Z,41.8,43.25,40.33,41.91,
gkrimi,5m,2025-11-07T03:30:04.050Z,41.91,43.48,40.83,41.05,
gkrimi,5m,2025-11-07T03:35:00.831Z,41.05,43.95,40.24,42.98,
gkrimi,5m,2025-11-07T03:40:02.360Z,42.15,43.01,39.47,39.47,
gkrimi,5m,2025-11-07T03:45:01.843Z,39.47,43.96,39.47,42.93,
gkrimi,5m,2025-11-07T03:50:00.970Z,42.93,43.79,40.48,40.92,
gkrimi,5m,2025-11-07T03:55:00.834Z,42,42,39.79,41.67,
gkrimi,5m,2025-11-07T04:00:00.967Z,42.59,43.32,40.36,40.36,
gkrimi,5m,2025-11-07T04:05:00.680Z,40.36,42.99,40.1,40.5,
gkrimi,5m,2025-11-07T04:10:00.989Z,41.59,43.82,40.08,42.71,
gkrimi,5m,2025-11-07T04:15:00.993Z,42.71,43.03,39.82,41.21,
gkrimi,5m,2025-11-07T04:20:00.992Z,41.18,42.66,39.65,41.79,
gkrimi,5m,2025-11-07T04:25:00.678Z,42.15,43.19,40.26,40.26,
gkrimi,5m,2025-11-07T04:30:02.932Z,42.06,43.55,40.1,41.14,
gkrimi,5m,2025-11-07T04:35:01.207Z,39.99,44.54,39.99,42.5,
gkrimi,5m,2025-11-07T04:40:02.209Z,42.21,43.98,40.62,40.62,
gkrimi,5m,2025-11-07T04:45:02.614Z,42,42.79,41.05,42.19,
gkrimi,5m,2025-11-07T04:50:01.027Z,41.35,43.57,39.9,40.91,
gkrimi,5m,2025-11-07T04:55:00.813Z,42,44.4,41.23,41.91,
gkrimi,5m,2025-11-07T05:00:01.239Z,41.91,44.22,39.98,41.76,
gkrimi,5m,2025-11-07T05:05:01.132Z,42.76,44.64,39.78,44.64,
gkrimi,5m,2025-11-07T05:10:02.249Z,40.76,44.84,39.75,42.36,
gkrimi,5m,2025-11-07T05:15:02.064Z,42.22,45.28,40.83,41.83,
gkrimi,5m,2025-11-07T05:24:42.991Z,42.55,44.88,39.77,42.8,
gkrimi,5m,2025-11-07T05:25:01.150Z,42.24,44.55,40.77,41.03,
