valueId,timeframe,ts,open,high,low,close,time
glit,1h,2025-10-28T05:31:45.350Z,49.67,49.67,49.67,49.67,2025-10-28T05:31:45.350Z
glit,1h,2025-10-28T10:00:15.595Z,50.28,50.28,50.28,50.28,2025-10-28T10:00:15.595Z
glit,1h,2025-10-28T11:00:39.157Z,50.17,50.17,50.17,50.17,2025-10-28T11:00:39.157Z
glit,1h,2025-10-28T12:00:58.622Z,49.76,49.76,49.76,49.76,2025-10-28T12:00:58.622Z
glit,1h,2025-11-07T03:00:03.595Z,50,52.24,48.18,48.49,
glit,1h,2025-11-07T04:00:00.967Z,50,52.39,46.84,49.44,
glit,1h,2025-11-07T05:00:01.239Z,50,51.32,45.92,50.16,
glit,1h,2025-11-07T06:00:42.033Z,50.16,52.28,47.68,49.51,
glit,1h,2025-11-07T07:06:13.929Z,49.51,56.02,55,56.02,
glit,1h,2025-11-07T08:00:04.388Z,56.02,58.22,51.74,54.58,
glit,1h,2025-11-07T09:00:04.229Z,54.58,57.94,52.99,56.67,
glit,1h,2025-11-07T10:00:04.167Z,56.67,58.25,52.13,55.54,
glit,1h,2025-11-07T11:00:04.693Z,55.54,57.94,51.61,57.23,
glit,1h,2025-11-07T12:00:04.115Z,57.23,58.11,52.1,54.37,
glit,1h,2025-11-07T13:00:04.049Z,54.37,57.31,52.12,55.88,
glit,1h,2025-11-07T14:00:02.938Z,55.88,58.09,51.84,54.88,
glit,1h,2025-11-07T14:57:22.780Z,54.73,56.1,55,56.1,
glit,1h,2025-11-07T15:25:02.296Z,54.89,54.89,54.89,54.89,
glit,1h,2025-11-07T16:55:22.015Z,55.95,56.01,55,56.01,
glit,1h,2025-11-07T21:10:08.433Z,56.68,56.73,56.68,56.73,
glit,1h,2025-11-08T14:00:09.019Z,56.1,55,54.15,54.15,
glit,1h,2025-11-08T14:03:06.469Z,55.41,55.41,55.41,55.41,
glit,1h,2025-11-08T15:45:21.376Z,53.16,53.16,53.16,53.16,
glit,1h,2025-11-08T16:58:25.466Z,56.05,56.05,55.27,55.27,
glit,1h,2025-11-08T17:49:21.200Z,54.26,55.05,55,55.05,
glit,1h,2025-11-08T18:04:01.240Z,53.95,53.95,53.37,53.37,
glit,1h,2025-11-08T19:50:04.912Z,56.1,55,54.99,54.99,
