valueId,timeframe,ts,open,high,low,close,time
glit,5m,2025-10-28T04:12:29.677Z,49.56,49.56,49.52,49.52,2025-10-28T04:12:29.677Z
glit,5m,2025-10-28T04:12:39.677Z,48.53,48.53,47.61,47.61,2025-10-28T04:12:39.677Z
glit,5m,2025-10-28T04:12:49.677Z,46.78,46.78,46.55,46.55,2025-10-28T04:12:49.677Z
glit,5m,2025-10-28T04:12:59.677Z,47.48,47.69,47.48,47.69,2025-10-28T04:12:59.677Z
glit,5m,2025-10-28T04:13:09.677Z,48.64,48.64,48.52,48.52,2025-10-28T04:13:09.677Z
glit,5m,2025-10-28T04:13:19.677Z,48.77,49.57,48.77,49.57,2025-10-28T04:13:19.677Z
glit,5m,2025-10-28T04:13:29.677Z,49.2,49.51,49.2,49.51,2025-10-28T04:13:29.677Z
glit,5m,2025-10-28T04:42:29.671Z,50.38,50.8,50.38,50.8,2025-10-28T04:42:29.671Z
glit,5m,2025-10-28T04:42:39.671Z,51.71,51.71,51.71,51.71,2025-10-28T04:42:39.671Z
glit,5m,2025-10-28T04:42:49.671Z,51.31,51.31,50.72,50.72,2025-10-28T04:42:49.671Z
glit,5m,2025-10-28T05:27:33.678Z,50.26,50.26,50.26,50.26,2025-10-28T05:27:33.678Z
glit,5m,2025-10-28T05:34:01.411Z,50.66,50.66,50.66,50.66,2025-10-28T05:34:01.411Z
glit,5m,2025-10-28T10:00:15.595Z,50.28,50.28,50.28,50.28,2025-10-28T10:00:15.595Z
glit,5m,2025-10-28T10:59:49.357Z,50.17,50.17,50.17,50.17,2025-10-28T10:59:49.357Z
glit,5m,2025-10-28T11:40:26.082Z,49.56,49.56,49.56,49.56,2025-10-28T11:40:26.082Z
glit,5m,2025-10-28T11:50:21.058Z,49.45,49.45,49.45,49.45,2025-10-28T11:50:21.058Z
glit,5m,2025-10-28T12:00:58.622Z,49.76,49.76,49.76,49.76,2025-10-28T12:00:58.622Z
glit,5m,2025-10-28T12:05:58.622Z,50.1,50.45,48.05,49.63,2025-10-28T12:05:58.622Z
glit,5m,2025-10-28T12:10:58.622Z,47.35,47.35,47.35,47.35,2025-10-28T12:10:58.622Z
glit,5m,2025-10-28T12:11:02.049Z,48.14,50.34,48.13,49.77,2025-10-28T12:11:02.049Z
glit,5m,2025-10-28T12:15:58.622Z,51.66,51.66,49.19,49.59,2025-10-28T12:15:58.622Z
glit,5m,2025-10-28T12:20:58.622Z,49.43,52.58,49.43,49.86,2025-10-28T12:20:58.622Z
glit,5m,2025-10-28T12:25:58.622Z,51.84,52.22,50.42,51.59,2025-10-28T12:25:58.622Z
glit,5m,2025-10-28T12:30:58.622Z,50.77,53.59,50.77,53.14,2025-10-28T12:30:58.622Z
glit,5m,2025-10-28T12:35:58.622Z,50.9,50.9,50.9,50.9,2025-10-28T12:35:58.622Z
glit,5m,2025-10-28T12:51:44.033Z,50.65,51.49,47.08,48.86,2025-10-28T12:51:44.033Z
glit,5m,2025-10-28T12:56:47.294Z,48.86,51.24,47.15,50.02,2025-10-28T12:56:47.294Z
glit,5m,2025-10-28T13:01:52.666Z,50.02,52.55,47.07,48.62,2025-10-28T13:01:52.666Z
glit,5m,2025-10-28T13:06:54.296Z,48.62,51.42,48.1,49.56,2025-10-28T13:06:54.296Z
glit,5m,2025-10-28T14:15:07.623Z,49.39,51.95,47.16,50.84,2025-10-28T14:15:07.623Z
glit,5m,2025-10-28T19:43:02.300Z,50.29,52.17,48.02,50,2025-10-28T19:43:02.300Z
glit,5m,2025-10-28T19:49:36.010Z,49,50.34,45.99,49.53,2025-10-28T19:49:36.010Z
glit,5m,2025-10-28T19:56:01.884Z,50.08,52.71,48.31,52.71,2025-10-28T19:56:01.884Z
glit,5m,2025-10-29T00:36:01.586Z,49,51.41,46.87,50.94,2025-10-29T00:36:01.586Z
glit,5m,2025-10-29T15:45:07.794Z,49.63,52.95,46.89,48.21,2025-10-29T15:45:07.794Z
glit,5m,2025-10-30T23:40:41.421Z,49.61,51.35,48.62,50.89,2025-10-30T23:40:41.421Z
glit,5m,2025-10-30T23:40:57.480Z,50.89,51.22,49.07,50.57,2025-10-30T23:40:57.480Z
glit,5m,2025-10-30T23:43:37.284Z,50.93,51.02,48.28,49.25,2025-10-30T23:43:37.284Z
glit,5m,2025-10-30T23:43:51.613Z,49.25,49.83,48.66,49.83,2025-10-30T23:43:51.613Z
glit,5m,2025-10-30T23:44:02.095Z,49.83,49.83,48.83,48.97,2025-10-30T23:44:02.095Z
glit,5m,2025-10-30T23:44:12.757Z,48.97,50.94,48.97,50,2025-10-30T23:44:12.757Z
glit,5m,2025-10-30T23:44:26.876Z,50,50.42,49.36,50.42,2025-10-30T23:44:26.876Z
glit,5m,2025-10-30T23:44:41.018Z,50.42,51.35,50.35,50.63,2025-10-30T23:44:41.018Z
glit,5m,2025-10-30T23:44:55.208Z,50.63,51.63,50.62,51.01,2025-10-30T23:44:55.208Z
glit,5m,2025-10-30T23:45:09.403Z,51.01,51.3,49.06,49.06,2025-10-30T23:45:09.403Z
glit,5m,2025-10-30T23:45:22.693Z,49.06,50.98,49.06,50.98,2025-10-30T23:45:22.693Z
glit,5m,2025-10-30T23:45:33.017Z,50.98,50.98,50.14,50.98,2025-10-30T23:45:33.017Z
glit,5m,2025-10-30T23:45:44.701Z,50.98,50.98,48.42,49.17,2025-10-30T23:45:44.701Z
glit,5m,2025-10-30T23:45:58.805Z,49.17,49.55,48.77,49.4,2025-10-30T23:45:58.805Z
glit,5m,2025-10-30T23:46:12.892Z,49.4,51.64,49.4,51.64,2025-10-30T23:46:12.892Z
glit,5m,2025-10-30T23:46:27.003Z,51.64,52.54,51.3,51.3,2025-10-30T23:46:27.003Z
glit,5m,2025-10-30T23:50:35.433Z,49,51.11,49,51.11,2025-10-30T23:50:35.433Z
glit,5m,2025-10-30T23:50:48.037Z,51.11,51.11,50.66,50.9,2025-10-30T23:50:48.037Z
glit,5m,2025-11-07T02:45:02.812Z,50,51.09,49.48,49.48,
glit,5m,2025-11-07T02:50:01.963Z,49.48,51.1,47.6,47.73,
glit,5m,2025-11-07T02:55:00.913Z,50,50.08,50,50.08,
glit,5m,2025-11-07T03:00:03.595Z,50.66,52.24,48.18,48.49,
glit,5m,2025-11-07T03:05:00.803Z,47.92,50.73,47.12,48.87,
glit,5m,2025-11-07T03:15:00.426Z,50,50.73,48.48,49.23,
glit,5m,2025-11-07T03:20:00.774Z,50,50,48.26,48.26,
glit,5m,2025-11-07T03:25:00.712Z,48.26,52.03,47.17,49.23,
glit,5m,2025-11-07T03:30:04.050Z,49.23,51.25,48.29,50.4,
glit,5m,2025-11-07T03:35:00.831Z,50.4,51.74,48.83,49.95,
glit,5m,2025-11-07T03:40:02.360Z,52,52,49.06,49.72,
glit,5m,2025-11-07T03:45:01.843Z,49.72,51.94,48.65,51.34,
glit,5m,2025-11-07T03:50:00.970Z,51.34,52.21,48.55,49.55,
glit,5m,2025-11-07T03:55:00.834Z,50,51.47,48.52,50.22,
glit,5m,2025-11-07T04:00:00.967Z,50.45,50.45,47.58,49.44,
glit,5m,2025-11-07T04:05:00.680Z,49.44,52.07,48.31,49.69,
glit,5m,2025-11-07T04:10:00.989Z,51.08,51.92,47.62,51.91,
glit,5m,2025-11-07T04:15:00.993Z,51.91,51.92,49.09,49.99,
glit,5m,2025-11-07T04:20:00.992Z,50.83,53.37,48.05,50.74,
glit,5m,2025-11-07T04:25:00.678Z,50.96,51.54,47.84,48.84,
glit,5m,2025-11-07T04:30:02.932Z,49.45,51.21,48.37,50.92,
glit,5m,2025-11-07T04:35:01.207Z,50.55,51.78,48.02,51.03,
glit,5m,2025-11-07T04:40:02.209Z,50.46,51.57,48.41,50.71,
glit,5m,2025-11-07T04:45:02.614Z,50,50.71,48.28,49.83,
glit,5m,2025-11-07T04:50:01.027Z,49.88,51.6,47.64,49.02,
glit,5m,2025-11-07T04:55:00.813Z,50,50.68,45.92,49.43,
glit,5m,2025-11-07T05:00:01.239Z,49.43,51.32,47.92,50.16,
glit,5m,2025-11-07T05:05:01.132Z,50.26,52.62,47.62,51.7,
glit,5m,2025-11-07T05:10:02.249Z,49.95,52.59,47.66,47.66,
glit,5m,2025-11-07T05:15:02.064Z,50.51,51.74,47.95,50.03,
glit,5m,2025-11-07T05:24:42.991Z,50.2,53,47.31,48.98,
glit,5m,2025-11-07T05:25:01.150Z,50.48,53.45,48,49.73,
glit,5m,2025-11-07T05:40:02.263Z,49.73,52.28,48.08,51.14,
glit,5m,2025-11-07T05:45:01.921Z,51.14,51.82,48.26,48.89,
glit,5m,2025-11-07T05:50:02.489Z,48.89,51.47,47.68,50.19,
glit,5m,2025-11-07T05:55:00.942Z,50.19,52.12,49.65,50.46,
glit,5m,2025-11-07T06:00:42.033Z,50.46,50.96,47.75,49.51,
glit,5m,2025-11-07T06:05:00.887Z,49.61,51.63,48.35,50.02,
glit,5m,2025-11-07T06:10:02.319Z,50.02,52.26,48.23,51.87,
glit,5m,2025-11-07T06:15:02.501Z,51.87,53,49.5,50.54,
glit,5m,2025-11-07T06:22:30.008Z,50.54,50.81,48.52,49.1,
glit,5m,2025-11-07T06:26:19.990Z,47.77,50.22,46.84,48.42,
glit,5m,2025-11-07T06:31:14.085Z,49.23,50.82,48.47,50.17,
glit,5m,2025-11-07T06:35:00.673Z,50.17,51.63,47.8,47.8,
glit,5m,2025-11-07T06:40:02.055Z,47.8,56.1,52.43,55.46,
glit,5m,2025-11-07T06:45:40.979Z,55.46,56.52,55,55.39,
