valueId,timeframe,ts,open,high,low,close,time
grmmxp,15m,2025-10-28T05:31:45.350Z,43.56,43.56,43.56,43.56,2025-10-28T05:31:45.350Z
grmmxp,15m,2025-10-28T10:59:15.041Z,42.9,42.9,42.9,42.9,2025-10-28T10:59:15.041Z
grmmxp,15m,2025-10-28T11:35:02.065Z,43.77,43.87,42.3,42.86,2025-10-28T11:35:02.065Z
grmmxp,15m,2025-10-28T11:50:21.058Z,43.89,43.89,43.89,43.89,2025-10-28T11:50:21.058Z
grmmxp,15m,2025-10-28T12:05:23.622Z,43.09,45.71,43.07,45.61,2025-10-28T12:05:23.622Z
grmmxp,15m,2025-10-28T12:20:23.622Z,41.65,42.83,40.82,42.83,2025-10-28T12:20:23.622Z
grmmxp,15m,2025-10-28T12:35:23.622Z,44.61,44.61,42.99,43.6,2025-10-28T12:35:23.622Z
grmmxp,15m,2025-10-28T12:51:44.033Z,43.76,45.82,41.09,42.99,2025-10-28T12:51:44.033Z
grmmxp,15m,2025-11-07T02:45:02.812Z,41,45.54,41,44.44,
grmmxp,15m,2025-11-07T03:00:03.595Z,41,44.45,41,42.43,
grmmxp,15m,2025-11-07T03:15:00.426Z,41,44.52,41,43.48,
grmmxp,15m,2025-11-07T03:30:04.050Z,41,45.73,41,42.38,
grmmxp,15m,2025-11-07T03:45:01.843Z,43.09,45.84,42.02,42.28,
grmmxp,15m,2025-11-07T04:00:00.967Z,42.28,45.98,41.58,44.41,
grmmxp,15m,2025-11-07T04:15:00.993Z,44.03,44.56,40.46,41.19,
grmmxp,15m,2025-11-07T04:30:02.932Z,43.41,44.99,41.17,41.95,
grmmxp,15m,2025-11-07T04:45:02.614Z,41,44.95,41,44.67,
grmmxp,15m,2025-11-07T05:00:01.239Z,41,44.61,41,42.78,
grmmxp,15m,2025-11-07T05:15:02.064Z,46.74,46.74,40.81,42.47,
grmmxp,15m,2025-11-07T05:45:01.921Z,42.47,45.2,41,44.74,
grmmxp,15m,2025-11-07T06:00:42.033Z,44.74,45.89,41.53,43.77,
grmmxp,15m,2025-11-07T06:15:02.501Z,42.39,46.36,41.8,44.01,
grmmxp,15m,2025-11-07T06:31:14.085Z,44.01,46.12,40.72,42.39,
grmmxp,15m,2025-11-07T06:45:40.979Z,42.39,45.91,43,45.56,
grmmxp,15m,2025-11-07T07:06:13.855Z,45.56,45.08,43,45.08,
grmmxp,15m,2025-11-07T07:15:02.379Z,45.08,47.27,43,44.96,
grmmxp,15m,2025-11-07T07:30:02.882Z,44.96,47.15,43.15,46.78,
grmmxp,15m,2025-11-07T07:45:02.009Z,46.78,47.91,43.96,44.21,
grmmxp,15m,2025-11-07T08:00:04.388Z,44.21,48.05,41.82,43.96,
grmmxp,15m,2025-11-07T08:30:03.338Z,43.96,47.94,43,46.63,
grmmxp,15m,2025-11-07T08:45:02.563Z,46.63,48.93,43.01,45.48,
grmmxp,15m,2025-11-07T09:00:04.229Z,45.48,47.59,43.46,46.12,
grmmxp,15m,2025-11-07T09:15:01.955Z,46.12,47.26,42.87,44.75,
grmmxp,15m,2025-11-07T09:30:03.457Z,44.75,47.75,43.44,44.84,
grmmxp,15m,2025-11-07T09:45:02.444Z,44.84,48.11,44.08,45.77,
grmmxp,15m,2025-11-07T10:00:04.167Z,45.77,47.72,42.4,46.16,
grmmxp,15m,2025-11-07T10:15:02.613Z,46.16,48.18,42.97,46.1,
grmmxp,15m,2025-11-07T10:45:02.013Z,46.1,47.18,43,45.39,
grmmxp,15m,2025-11-07T11:00:04.693Z,45.39,48.89,44.03,44.8,
grmmxp,15m,2025-11-07T11:15:02.266Z,44.8,47.35,42.78,44.58,
grmmxp,15m,2025-11-07T11:30:03.146Z,44.58,47.25,41.99,44.33,
grmmxp,15m,2025-11-07T11:45:02.241Z,44.33,47.23,43.37,45.96,
grmmxp,15m,2025-11-07T12:00:04.115Z,45.96,47.94,42.19,45.09,
grmmxp,15m,2025-11-07T12:15:02.102Z,45.09,47.55,43.94,45.69,
grmmxp,15m,2025-11-07T12:30:03.510Z,45.69,48.66,43.1,48.43,
grmmxp,15m,2025-11-07T12:45:02.057Z,48.43,47.74,43,47.74,
grmmxp,15m,2025-11-07T13:00:04.049Z,47.74,47.74,43.09,45.98,
grmmxp,15m,2025-11-07T13:15:02.292Z,45.98,48.58,43.33,46.5,
grmmxp,15m,2025-11-07T13:30:03.077Z,46.5,48.06,43.1,44.54,
grmmxp,15m,2025-11-07T13:45:01.975Z,44.54,47.42,43.48,45.83,
grmmxp,15m,2025-11-07T14:00:02.938Z,45.83,47.54,43.42,44.46,
grmmxp,15m,2025-11-07T14:23:58.480Z,44.46,47.5,43,45.25,
grmmxp,15m,2025-11-07T14:33:47.186Z,46.95,45.26,43,45.26,
grmmxp,15m,2025-11-07T14:45:02.073Z,46.17,46.17,46.17,46.17,
grmmxp,15m,2025-11-07T14:57:55.582Z,45.67,46.06,43,46.06,
grmmxp,15m,2025-11-07T15:14:53.107Z,46.15,46.15,46.15,46.15,
grmmxp,15m,2025-11-07T15:24:47.624Z,46.13,44.67,43,44.67,
grmmxp,15m,2025-11-07T15:41:47.539Z,46.03,44.67,43,44.67,
grmmxp,15m,2025-11-07T15:52:47.466Z,44.67,45.76,43,45.76,
grmmxp,15m,2025-11-07T16:13:48.775Z,44.67,45.08,44.67,45.08,
grmmxp,15m,2025-11-07T16:30:07.204Z,44.99,45.88,44.99,45.88,
grmmxp,15m,2025-11-07T16:44:28.611Z,44.98,46.49,43,46.49,
grmmxp,15m,2025-11-07T16:55:22.015Z,46.49,46.49,43,46.49,
grmmxp,15m,2025-11-07T21:09:46.829Z,45.02,45.45,45.02,45.45,
grmmxp,15m,2025-11-08T13:59:59.468Z,46.77,47.11,46.77,47.11,
grmmxp,15m,2025-11-08T14:03:06.469Z,45.12,45.12,45.12,45.12,
grmmxp,15m,2025-11-08T15:44:53.368Z,47.36,47.36,47.36,47.36,
grmmxp,15m,2025-11-08T15:45:21.376Z,45.58,45.58,45.58,45.58,
grmmxp,15m,2025-11-08T16:44:54.340Z,45.84,45.84,45.49,45.49,
grmmxp,15m,2025-11-08T16:59:53.405Z,45.9,44.79,43,44.79,
grmmxp,15m,2025-11-08T17:12:48.107Z,46.26,46.26,46.26,46.26,
grmmxp,15m,2025-11-08T17:16:28.664Z,46.12,46.12,45.85,45.85,
grmmxp,15m,2025-11-08T17:45:07.792Z,46.41,46.41,46.41,46.41,
grmmxp,15m,2025-11-08T17:57:27.427Z,44.67,45.52,43,45.52,
grmmxp,15m,2025-11-08T18:04:01.240Z,46.66,46.66,46.66,46.66,
grmmxp,15m,2025-11-08T19:14:13.924Z,46.24,46.24,45.54,45.54,
grmmxp,15m,2025-11-08T19:29:42.748Z,45.45,45.45,45.35,45.35,
grmmxp,15m,2025-11-08T19:44:38.462Z,44.58,44.62,44.58,44.62,
