valueId,timeframe,ts,open,high,low,close,time
grmmxp,4h,2025-10-28T05:31:45.350Z,43.56,43.56,43.56,43.56,2025-10-28T05:31:45.350Z
grmmxp,4h,2025-10-28T10:59:15.041Z,42.9,42.9,42.9,42.9,2025-10-28T10:59:15.041Z
grmmxp,4h,2025-11-07T04:00:00.967Z,41,45.98,41,44.41,
grmmxp,4h,2025-11-07T08:00:04.388Z,44.41,48.05,41.82,43.96,
grmmxp,4h,2025-11-07T12:00:04.115Z,43.96,48.89,41.99,45.09,
grmmxp,4h,2025-11-07T15:25:02.296Z,46.94,46.94,46.94,46.94,
grmmxp,4h,2025-11-07T16:44:21.039Z,44.98,44.98,44.98,44.98,
grmmxp,4h,2025-11-07T21:10:06.468Z,44.84,44.84,44.84,44.84,
grmmxp,4h,2025-11-08T15:45:21.376Z,45.58,45.58,45.58,45.58,
grmmxp,4h,2025-11-08T19:50:04.912Z,46.47,45.95,43,45.95,
