valueId,timeframe,ts,open,high,low,close,time
gzehntel,1h,2025-10-28T05:31:45.350Z,13.63,13.63,13.63,13.63,2025-10-28T05:31:45.350Z
gzehntel,1h,2025-10-28T10:00:15.595Z,13.36,13.36,13.36,13.36,2025-10-28T10:00:15.595Z
gzehntel,1h,2025-10-28T11:00:39.157Z,13.49,13.49,13.49,13.49,2025-10-28T11:00:39.157Z
gzehntel,1h,2025-10-28T12:00:58.622Z,13.43,13.43,13.43,13.43,2025-10-28T12:00:58.622Z
gzehntel,1h,2025-11-07T03:00:03.595Z,12.8,13.96,12.73,13.18,
gzehntel,1h,2025-11-07T04:00:00.967Z,12.8,14.03,12.56,13.46,
gzehntel,1h,2025-11-07T05:00:01.239Z,12.8,14.06,12.75,13.76,
gzehntel,1h,2025-11-07T06:00:42.033Z,13.76,14.06,12.8,13.59,
gzehntel,1h,2025-11-07T07:06:13.929Z,13.59,13.77,13,13.77,
gzehntel,1h,2025-11-07T08:00:04.388Z,13.77,14.25,12.9,13.66,
gzehntel,1h,2025-11-07T09:00:04.229Z,13.66,14.58,12.71,14.36,
gzehntel,1h,2025-11-07T10:00:04.167Z,14.36,14.38,12.59,13.69,
gzehntel,1h,2025-11-07T11:00:04.693Z,13.69,14.19,12.73,13.36,
gzehntel,1h,2025-11-07T12:00:04.115Z,13.36,14.4,12.7,13.13,
gzehntel,1h,2025-11-07T13:00:04.049Z,13.13,14.41,12.86,14,
gzehntel,1h,2025-11-07T14:00:02.938Z,14,14.34,12.64,13.54,
gzehntel,1h,2025-11-07T14:57:22.780Z,13.4,13.45,13,13.45,
gzehntel,1h,2025-11-07T15:25:02.296Z,13.74,13.74,13.74,13.74,
gzehntel,1h,2025-11-07T16:55:22.015Z,13.58,13.28,13,13.28,
gzehntel,1h,2025-11-07T21:10:08.433Z,13.35,13.35,13.11,13.11,
gzehntel,1h,2025-11-08T14:00:09.019Z,13.45,13.82,13,13.82,
gzehntel,1h,2025-11-08T14:03:06.469Z,13.46,13.46,13.46,13.46,
gzehntel,1h,2025-11-08T15:45:21.376Z,13.54,13.54,13.54,13.54,
gzehntel,1h,2025-11-08T16:59:53.405Z,13.27,13.3,13,13.3,
gzehntel,1h,2025-11-08T17:49:09.816Z,14.05,13.28,13,13.28,
gzehntel,1h,2025-11-08T18:04:01.240Z,13.68,13.68,13.41,13.41,
gzehntel,1h,2025-11-08T19:50:04.912Z,13.68,13.73,13,13.73,
