valueId,timeframe,ts,open,high,low,close,time
gzehntel,5m,2025-10-28T04:12:29.677Z,12.88,12.88,12.75,12.75,2025-10-28T04:12:29.677Z
gzehntel,5m,2025-10-28T04:12:39.677Z,12.77,12.77,12.66,12.66,2025-10-28T04:12:39.677Z
gzehntel,5m,2025-10-28T04:12:49.677Z,12.91,12.95,12.91,12.95,2025-10-28T04:12:49.677Z
gzehntel,5m,2025-10-28T04:12:59.677Z,13.07,13.07,12.94,12.94,2025-10-28T04:12:59.677Z
gzehntel,5m,2025-10-28T04:13:09.677Z,13.2,13.2,13.02,13.02,2025-10-28T04:13:09.677Z
gzehntel,5m,2025-10-28T04:13:19.677Z,13.05,13.07,13.05,13.07,2025-10-28T04:13:19.677Z
gzehntel,5m,2025-10-28T04:13:29.677Z,13.06,13.06,13.02,13.02,2025-10-28T04:13:29.677Z
gzehntel,5m,2025-10-28T04:42:19.671Z,13.03,13.17,13.03,13.17,2025-10-28T04:42:19.671Z
gzehntel,5m,2025-10-28T04:42:29.671Z,13.37,13.37,13.32,13.32,2025-10-28T04:42:29.671Z
gzehntel,5m,2025-10-28T04:42:39.671Z,13.46,13.46,13.41,13.41,2025-10-28T04:42:39.671Z
gzehntel,5m,2025-10-28T04:42:49.671Z,13.48,13.75,13.48,13.75,2025-10-28T04:42:49.671Z
gzehntel,5m,2025-10-28T04:43:09.671Z,13.61,13.61,13.61,13.61,2025-10-28T04:43:09.671Z
gzehntel,5m,2025-10-28T04:43:19.671Z,13.29,13.29,13.29,13.29,2025-10-28T04:43:19.671Z
gzehntel,5m,2025-10-28T05:27:33.678Z,13.62,13.62,13.62,13.62,2025-10-28T05:27:33.678Z
gzehntel,5m,2025-10-28T05:34:01.411Z,13.51,13.51,13.51,13.51,2025-10-28T05:34:01.411Z
gzehntel,5m,2025-10-28T10:59:15.041Z,13.63,13.63,13.63,13.63,2025-10-28T10:59:15.041Z
gzehntel,5m,2025-10-28T11:08:02.057Z,13.51,13.57,12.71,13.14,2025-10-28T11:08:02.057Z
gzehntel,5m,2025-10-28T11:40:26.082Z,13.53,13.53,13.53,13.53,2025-10-28T11:40:26.082Z
gzehntel,5m,2025-10-28T11:45:27.054Z,13.07,13.36,13.07,13.36,2025-10-28T11:45:27.054Z
gzehntel,5m,2025-10-28T11:50:31.058Z,14.04,14.07,13.72,13.72,2025-10-28T11:50:31.058Z
gzehntel,5m,2025-10-28T12:00:58.622Z,13.43,13.43,13.43,13.43,2025-10-28T12:00:58.622Z
gzehntel,5m,2025-10-28T12:05:58.622Z,13.72,14.09,13.29,13.29,2025-10-28T12:05:58.622Z
gzehntel,5m,2025-10-28T12:10:58.622Z,13.48,13.48,13.48,13.48,2025-10-28T12:10:58.622Z
gzehntel,5m,2025-10-28T12:11:02.049Z,13.51,13.63,13.13,13.13,2025-10-28T12:11:02.049Z
gzehntel,5m,2025-10-28T12:15:58.622Z,13.21,13.79,12.77,13.7,2025-10-28T12:15:58.622Z
gzehntel,5m,2025-10-28T12:20:58.622Z,13.11,13.51,12.94,12.97,2025-10-28T12:20:58.622Z
gzehntel,5m,2025-10-28T12:25:58.622Z,13.67,13.67,12.96,13.33,2025-10-28T12:25:58.622Z
gzehntel,5m,2025-10-28T12:30:58.622Z,13.39,13.69,13.28,13.69,2025-10-28T12:30:58.622Z
gzehntel,5m,2025-10-28T12:35:58.622Z,13.49,13.49,13.49,13.49,2025-10-28T12:35:58.622Z
gzehntel,5m,2025-10-28T12:44:02.404Z,13.45,13.72,12.95,13.25,2025-10-28T12:44:02.404Z
gzehntel,5m,2025-10-28T12:51:44.033Z,13.51,13.87,13.15,13.63,2025-10-28T12:51:44.033Z
gzehntel,5m,2025-10-28T12:56:47.294Z,13.63,13.88,12.61,13.33,2025-10-28T12:56:47.294Z
gzehntel,5m,2025-10-28T13:01:52.666Z,13.33,14,12.95,13.47,2025-10-28T13:01:52.666Z
gzehntel,5m,2025-10-28T13:06:54.296Z,13.47,13.77,12.85,12.99,2025-10-28T13:06:54.296Z
gzehntel,5m,2025-10-28T14:15:07.623Z,13.38,13.98,13,13.68,2025-10-28T14:15:07.623Z
gzehntel,5m,2025-10-28T19:43:02.300Z,13.6,13.65,12.68,12.81,2025-10-28T19:43:02.300Z
gzehntel,5m,2025-10-28T19:49:36.010Z,13.26,13.7,12.66,13.49,2025-10-28T19:49:36.010Z
gzehntel,5m,2025-10-28T19:56:01.884Z,13.4,13.73,12.87,13.42,2025-10-28T19:56:01.884Z
gzehntel,5m,2025-10-29T15:45:07.794Z,13.32,14.05,12.47,13.62,2025-10-29T15:45:07.794Z
gzehntel,5m,2025-10-30T23:40:41.421Z,13.2,13.48,12.97,12.97,2025-10-30T23:40:41.421Z
gzehntel,5m,2025-10-30T23:40:57.480Z,12.97,13.42,12.91,13.42,2025-10-30T23:40:57.480Z
gzehntel,5m,2025-10-30T23:43:37.284Z,13.52,13.52,13.22,13.31,2025-10-30T23:43:37.284Z
gzehntel,5m,2025-10-30T23:43:51.613Z,13.31,13.36,13.13,13.18,2025-10-30T23:43:51.613Z
gzehntel,5m,2025-10-30T23:44:02.095Z,13.18,13.46,13.18,13.25,2025-10-30T23:44:02.095Z
gzehntel,5m,2025-10-30T23:44:12.757Z,13.25,13.69,13.22,13.37,2025-10-30T23:44:12.757Z
gzehntel,5m,2025-10-30T23:44:26.876Z,13.37,13.54,13.04,13.3,2025-10-30T23:44:26.876Z
gzehntel,5m,2025-10-30T23:44:41.018Z,13.3,13.55,13.04,13.55,2025-10-30T23:44:41.018Z
gzehntel,5m,2025-10-30T23:44:55.208Z,13.55,13.55,13.32,13.47,2025-10-30T23:44:55.208Z
gzehntel,5m,2025-10-30T23:45:09.403Z,13.47,13.63,13.26,13.63,2025-10-30T23:45:09.403Z
gzehntel,5m,2025-10-30T23:45:22.693Z,13.63,13.63,13.32,13.59,2025-10-30T23:45:22.693Z
gzehntel,5m,2025-10-30T23:45:33.017Z,13.59,13.59,13.22,13.22,2025-10-30T23:45:33.017Z
gzehntel,5m,2025-10-30T23:45:44.701Z,13.22,13.22,12.93,13.22,2025-10-30T23:45:44.701Z
