valueId,timeframe,ts,open,high,low,close,time
hormxp,15m,2025-10-28T05:31:45.350Z,57.94,57.94,57.94,57.94,2025-10-28T05:31:45.350Z
hormxp,15m,2025-10-28T10:59:15.041Z,56.78,56.78,56.78,56.78,2025-10-28T10:59:15.041Z
hormxp,15m,2025-10-28T11:17:02.065Z,58.25,58.64,55.87,58.13,2025-10-28T11:17:02.065Z
hormxp,15m,2025-10-28T11:40:26.082Z,57.49,57.49,57.49,57.49,2025-10-28T11:40:26.082Z
hormxp,15m,2025-10-28T12:00:58.622Z,58.31,58.31,58.31,58.31,2025-10-28T12:00:58.622Z
hormxp,15m,2025-10-28T12:15:58.622Z,57.88,57.88,54.61,56.96,2025-10-28T12:15:58.622Z
hormxp,15m,2025-10-28T12:30:58.622Z,54.58,56.68,54.14,54.66,2025-10-28T12:30:58.622Z
hormxp,15m,2025-10-28T12:51:44.033Z,57.24,57.95,52.93,55.15,2025-10-28T12:51:44.033Z
hormxp,15m,2025-10-28T13:03:02.060Z,56.8,57.01,54.75,56.47,2025-10-28T13:03:02.060Z
hormxp,15m,2025-11-07T02:45:02.812Z,56,58.09,55.05,55.96,
hormxp,15m,2025-11-07T03:00:03.595Z,56,58.15,53.68,58.15,
hormxp,15m,2025-11-07T03:15:00.426Z,56,58.66,54.77,58.08,
hormxp,15m,2025-11-07T03:30:04.050Z,56,58.52,53.89,57.58,
hormxp,15m,2025-11-07T03:45:01.843Z,54.83,59.48,54.09,57.83,
hormxp,15m,2025-11-07T04:00:00.967Z,57.83,58.87,53.37,57.51,
hormxp,15m,2025-11-07T04:15:00.993Z,56.27,59.23,52.93,55.15,
hormxp,15m,2025-11-07T04:30:02.905Z,55.15,58.99,53.23,58.99,
hormxp,15m,2025-11-07T04:45:02.614Z,56,57.82,55.08,56.95,
hormxp,15m,2025-11-07T05:00:01.239Z,56,58.2,53.22,57.36,
hormxp,15m,2025-11-07T05:15:02.064Z,54.99,59.34,53.38,54.14,
hormxp,15m,2025-11-07T05:45:01.921Z,54.14,58.12,54.21,56.96,
hormxp,15m,2025-11-07T06:00:42.033Z,56.96,60.33,53.27,57.61,
hormxp,15m,2025-11-07T06:15:02.501Z,56.98,59.99,54.07,57.09,
hormxp,15m,2025-11-07T06:31:14.085Z,57.09,59.2,54.59,55.47,
hormxp,15m,2025-11-07T06:45:40.979Z,55.47,55.02,54,54.69,
hormxp,15m,2025-11-07T07:06:13.929Z,54.69,54,53.59,53.59,
hormxp,15m,2025-11-07T07:15:02.379Z,53.59,56.26,53.63,54.7,
hormxp,15m,2025-11-07T07:30:02.882Z,54.7,56.33,51.31,53.58,
hormxp,15m,2025-11-07T07:45:02.009Z,53.58,57.52,52.53,53.18,
hormxp,15m,2025-11-07T08:00:04.388Z,53.18,56.94,51.7,55.6,
hormxp,15m,2025-11-07T08:30:03.338Z,55.6,57.07,53.13,54.11,
hormxp,15m,2025-11-07T08:45:02.563Z,54.11,57.75,51.6,53.68,
hormxp,15m,2025-11-07T09:00:04.229Z,53.68,57.26,52.5,54.08,
hormxp,15m,2025-11-07T09:15:01.955Z,54.08,57.3,52.41,53.97,
hormxp,15m,2025-11-07T09:30:03.457Z,53.97,56.27,52.42,53.33,
hormxp,15m,2025-11-07T09:45:02.444Z,53.33,56.82,51.31,53.65,
hormxp,15m,2025-11-07T10:00:04.167Z,53.65,56.96,50.8,53.28,
hormxp,15m,2025-11-07T10:15:02.613Z,53.28,56.86,51.87,55.36,
hormxp,15m,2025-11-07T10:45:02.013Z,55.36,57.32,52.41,53,
hormxp,15m,2025-11-07T11:00:04.693Z,53,57.2,50.51,54.35,
hormxp,15m,2025-11-07T11:15:02.266Z,54.35,56.55,51.18,55.06,
hormxp,15m,2025-11-07T11:30:03.146Z,55.06,56.41,51.86,54.11,
hormxp,15m,2025-11-07T11:45:02.241Z,54.11,57.65,51.31,53.94,
hormxp,15m,2025-11-07T12:00:04.115Z,53.94,56.83,51.62,56.18,
hormxp,15m,2025-11-07T12:15:02.102Z,56.18,57.07,52.03,55.67,
hormxp,15m,2025-11-07T12:30:03.510Z,55.67,57.73,51.04,55.18,
hormxp,15m,2025-11-07T12:45:02.057Z,55.18,56.83,53.66,55.69,
hormxp,15m,2025-11-07T13:00:04.049Z,55.69,56.46,52.27,53.35,
hormxp,15m,2025-11-07T13:15:02.292Z,53.35,57.13,51.82,52.86,
hormxp,15m,2025-11-07T13:30:03.077Z,52.86,57.05,52.01,57.05,
hormxp,15m,2025-11-07T13:45:01.975Z,57.05,57.69,52.17,53.31,
hormxp,15m,2025-11-07T14:00:02.938Z,53.31,57.26,52.82,55.29,
hormxp,15m,2025-11-07T14:23:58.480Z,55.29,56.19,51.75,52.79,
hormxp,15m,2025-11-07T14:33:47.186Z,54.26,54,53.87,53.87,
hormxp,15m,2025-11-07T14:45:02.073Z,53.93,53.93,53.93,53.93,
hormxp,15m,2025-11-07T14:57:22.780Z,54.13,54.79,54,54.79,
hormxp,15m,2025-11-07T15:14:46.700Z,54.38,55.41,54.38,55.41,
hormxp,15m,2025-11-07T15:24:47.624Z,54.35,54.64,54,54.64,
hormxp,15m,2025-11-07T15:32:47.516Z,54.64,54,53.82,53.82,
hormxp,15m,2025-11-07T15:54:47.575Z,53.82,54,53.58,53.58,
hormxp,15m,2025-11-07T16:13:48.775Z,54.58,55.19,54.58,55.19,
hormxp,15m,2025-11-07T16:30:07.204Z,54,54,53.34,53.34,
hormxp,15m,2025-11-07T16:44:22.497Z,55.06,55.71,55.06,55.71,
hormxp,15m,2025-11-07T16:55:22.015Z,55.71,54.38,54,54.38,
hormxp,15m,2025-11-07T21:10:08.433Z,54.05,54.3,54.05,54.3,
hormxp,15m,2025-11-08T14:00:09.019Z,55.41,54,53.6,53.6,
hormxp,15m,2025-11-08T14:03:06.469Z,54.73,54.73,54.73,54.73,
hormxp,15m,2025-11-08T15:44:53.368Z,53.15,53.15,53.15,53.15,
hormxp,15m,2025-11-08T15:45:21.376Z,54.16,54.16,54.16,54.16,
hormxp,15m,2025-11-08T16:44:54.340Z,52.77,53.62,52.77,53.62,
hormxp,15m,2025-11-08T16:59:53.405Z,53.3,55.41,54,55.41,
hormxp,15m,2025-11-08T17:12:48.107Z,53.72,53.72,53.72,53.72,
hormxp,15m,2025-11-08T17:16:28.664Z,54.31,54.31,53.68,53.68,
hormxp,15m,2025-11-08T17:45:07.792Z,54.47,54.47,54.47,54.47,
hormxp,15m,2025-11-08T17:50:09.016Z,54.87,54,53.74,53.74,
hormxp,15m,2025-11-08T18:04:01.240Z,54.94,54.94,54.94,54.94,
hormxp,15m,2025-11-08T19:14:13.924Z,54.94,54.94,54.73,54.73,
hormxp,15m,2025-11-08T19:29:42.748Z,54.71,55.44,54.71,55.44,
hormxp,15m,2025-11-08T19:44:36.816Z,56.05,56.05,56.05,56.05,
hormxp,15m,2025-11-08T19:49:55.521Z,54.41,54.62,54.41,54.62,
