valueId,timeframe,ts,open,high,low,close,time
hormxp,4h,2025-10-28T05:31:45.350Z,57.94,57.94,57.94,57.94,2025-10-28T05:31:45.350Z
hormxp,4h,2025-10-28T10:59:15.041Z,56.78,56.78,56.78,56.78,2025-10-28T10:59:15.041Z
hormxp,4h,2025-11-07T04:00:00.967Z,56,59.73,53.37,57.51,
hormxp,4h,2025-11-07T08:00:04.388Z,57.51,57.52,51.31,55.6,
hormxp,4h,2025-11-07T12:00:04.115Z,55.6,57.65,50.51,56.18,
hormxp,4h,2025-11-07T15:25:02.296Z,54.97,54.97,54.97,54.97,
hormxp,4h,2025-11-07T16:44:01.415Z,54.61,54.61,54.24,54.24,
hormxp,4h,2025-11-07T21:10:08.433Z,54.05,54.3,54.05,54.3,
hormxp,4h,2025-11-08T15:45:21.376Z,54.16,54.16,54.16,54.16,
hormxp,4h,2025-11-08T19:50:04.912Z,54.35,54,53.29,53.29,
