valueId,timeframe,ts,open,high,low,close,time
krimxp,4h,2025-10-28T05:31:45.350Z,43.56,43.56,43.56,43.56,2025-10-28T05:31:45.350Z
krimxp,4h,2025-10-28T10:59:15.041Z,44.15,44.15,44.15,44.15,2025-10-28T10:59:15.041Z
krimxp,4h,2025-11-07T04:00:00.967Z,42,45.92,41.49,44.34,
krimxp,4h,2025-11-07T08:00:04.388Z,44.34,49.24,43.03,45.54,
krimxp,4h,2025-11-07T12:00:04.115Z,45.54,48.7,42.58,46.53,
krimxp,4h,2025-11-07T15:25:02.296Z,45.5,45.5,45.5,45.5,
krimxp,4h,2025-11-07T16:44:01.415Z,45.28,46.19,45.28,46.19,
krimxp,4h,2025-11-07T21:10:08.433Z,45.64,46.55,45.64,46.55,
krimxp,4h,2025-11-08T15:45:21.376Z,44.2,44.2,44.2,44.2,
krimxp,4h,2025-11-08T19:50:04.912Z,47.12,46.79,44,46.79,
