valueId,timeframe,ts,open,high,low,close,time
krimxp,5m,2025-10-28T04:12:39.677Z,43.65,43.65,42.78,42.78,2025-10-28T04:12:39.677Z
krimxp,5m,2025-10-28T04:12:49.677Z,43.64,43.64,43.47,43.47,2025-10-28T04:12:49.677Z
krimxp,5m,2025-10-28T04:12:59.677Z,43.3,43.3,43.01,43.01,2025-10-28T04:12:59.677Z
krimxp,5m,2025-10-28T04:13:09.677Z,42.79,43.05,42.79,43.05,2025-10-28T04:13:09.677Z
krimxp,5m,2025-10-28T04:13:19.677Z,43.37,43.69,43.37,43.69,2025-10-28T04:13:19.677Z
krimxp,5m,2025-10-28T04:13:29.677Z,43.9,43.9,43.8,43.8,2025-10-28T04:13:29.677Z
krimxp,5m,2025-10-28T04:42:29.671Z,44.43,44.43,44.3,44.3,2025-10-28T04:42:29.671Z
krimxp,5m,2025-10-28T04:42:39.671Z,44.68,44.68,44.52,44.52,2025-10-28T04:42:39.671Z
krimxp,5m,2025-10-28T04:42:49.671Z,44.12,44.12,44.05,44.05,2025-10-28T04:42:49.671Z
krimxp,5m,2025-10-28T04:42:59.671Z,43.76,43.76,43.73,43.73,2025-10-28T04:42:59.671Z
krimxp,5m,2025-10-28T05:31:45.350Z,43.56,43.56,43.56,43.56,2025-10-28T05:31:45.350Z
krimxp,5m,2025-10-28T05:36:46.411Z,44.39,45.99,42.64,43.24,2025-10-28T05:36:46.411Z
krimxp,5m,2025-10-28T10:59:15.041Z,44.15,44.15,44.15,44.15,2025-10-28T10:59:15.041Z
krimxp,5m,2025-10-28T11:17:02.065Z,42.69,44.74,42.69,43.26,2025-10-28T11:17:02.065Z
krimxp,5m,2025-10-28T11:31:02.073Z,44,45.2,43.58,45.2,2025-10-28T11:31:02.073Z
krimxp,5m,2025-10-28T11:40:26.082Z,44.3,44.3,44.3,44.3,2025-10-28T11:40:26.082Z
krimxp,5m,2025-10-28T11:50:21.058Z,43.04,43.04,43.04,43.04,2025-10-28T11:50:21.058Z
krimxp,5m,2025-10-28T12:00:58.622Z,42.88,42.88,42.88,42.88,2025-10-28T12:00:58.622Z
krimxp,5m,2025-10-28T12:05:58.622Z,43.56,44.54,43.38,44.52,2025-10-28T12:05:58.622Z
