valueId,timeframe,ts,open,high,low,close,time
litmxp,4h,2025-10-28T05:31:45.350Z,52.57,52.57,52.57,52.57,2025-10-28T05:31:45.350Z
litmxp,4h,2025-10-28T10:59:15.041Z,51.82,51.82,51.82,51.82,2025-10-28T10:59:15.041Z
litmxp,4h,2025-11-07T04:00:00.967Z,50,56,50,53.14,
litmxp,4h,2025-11-07T08:00:04.388Z,53.14,61.61,54.62,58.15,
litmxp,4h,2025-11-07T12:00:04.115Z,58.15,61.78,54.6,59.13,
litmxp,4h,2025-11-07T15:25:02.296Z,58.75,58.75,58.75,58.75,
litmxp,4h,2025-11-07T16:44:21.039Z,57.29,57.29,57.29,57.29,
litmxp,4h,2025-11-07T21:10:06.468Z,57.45,57.45,57.45,57.45,
litmxp,4h,2025-11-08T15:45:21.376Z,59.12,59.12,59.12,59.12,
litmxp,4h,2025-11-08T19:50:04.912Z,59.02,58.85,55,58.85,
