valueId,timeframe,ts,open,high,low,close,time
litmxp,5m,2025-10-28T04:12:19.677Z,51.72,52.43,51.72,52.43,2025-10-28T04:12:19.677Z
litmxp,5m,2025-10-28T04:12:29.677Z,52.27,52.27,51.55,51.55,2025-10-28T04:12:29.677Z
litmxp,5m,2025-10-28T04:12:39.677Z,51.59,52.49,51.59,52.49,2025-10-28T04:12:39.677Z
litmxp,5m,2025-10-28T04:12:49.677Z,52.82,52.99,52.82,52.99,2025-10-28T04:12:49.677Z
litmxp,5m,2025-10-28T04:12:59.677Z,53.85,53.85,53.38,53.38,2025-10-28T04:12:59.677Z
litmxp,5m,2025-10-28T04:13:09.677Z,52.61,52.61,52.17,52.17,2025-10-28T04:13:09.677Z
litmxp,5m,2025-10-28T04:13:19.677Z,51.91,51.91,51.37,51.37,2025-10-28T04:13:19.677Z
litmxp,5m,2025-10-28T04:13:29.677Z,51.87,51.87,51.34,51.34,2025-10-28T04:13:29.677Z
litmxp,5m,2025-10-28T04:42:19.671Z,52.61,52.61,51.97,51.97,2025-10-28T04:42:19.671Z
litmxp,5m,2025-10-28T04:42:29.671Z,51.86,51.86,51.85,51.85,2025-10-28T04:42:29.671Z
litmxp,5m,2025-10-28T04:42:39.671Z,51.29,51.29,51.29,51.29,2025-10-28T04:42:39.671Z
litmxp,5m,2025-10-28T04:42:49.671Z,53.11,53.11,53.11,53.11,2025-10-28T04:42:49.671Z
litmxp,5m,2025-10-28T04:43:09.671Z,53.2,53.2,52.4,52.4,2025-10-28T04:43:09.671Z
litmxp,5m,2025-10-28T04:43:19.671Z,51.74,51.74,51.74,51.74,2025-10-28T04:43:19.671Z
litmxp,5m,2025-10-28T05:27:33.678Z,52.05,52.05,52.05,52.05,2025-10-28T05:27:33.678Z
litmxp,5m,2025-10-28T05:34:01.411Z,53.62,53.62,53.62,53.62,2025-10-28T05:34:01.411Z
litmxp,5m,2025-10-28T10:59:15.041Z,51.82,51.82,51.82,51.82,2025-10-28T10:59:15.041Z
litmxp,5m,2025-10-28T11:10:02.066Z,51.52,52.36,49.81,50.97,2025-10-28T11:10:02.066Z
litmxp,5m,2025-10-28T11:17:02.065Z,53.33,55.02,51.55,55.02,2025-10-28T11:17:02.065Z
litmxp,5m,2025-10-28T11:33:02.063Z,53.62,54.54,50.86,51.88,2025-10-28T11:33:02.063Z
litmxp,5m,2025-10-28T11:40:26.082Z,52.54,52.54,52.54,52.54,2025-10-28T11:40:26.082Z
litmxp,5m,2025-10-28T11:50:21.058Z,52.91,52.91,52.91,52.91,2025-10-28T11:50:21.058Z
litmxp,5m,2025-10-28T12:00:58.622Z,53.06,53.06,53.06,53.06,2025-10-28T12:00:58.622Z
litmxp,5m,2025-10-28T12:05:58.622Z,55.09,55.36,52.4,52.4,2025-10-28T12:05:58.622Z
litmxp,5m,2025-10-28T12:10:58.622Z,52.57,52.57,52.57,52.57,2025-10-28T12:10:58.622Z
litmxp,5m,2025-10-28T12:15:58.622Z,54.3,54.51,51.95,54.32,2025-10-28T12:15:58.622Z
