valueId,timeframe,ts,open,high,low,close,time
rftmxp,15m,2025-10-28T05:27:33.678Z,88.72,88.72,88.72,88.72,2025-10-28T05:27:33.678Z
rftmxp,15m,2025-10-28T10:59:15.041Z,86.82,86.82,86.82,86.82,2025-10-28T10:59:15.041Z
rftmxp,15m,2025-10-28T11:15:02.069Z,85.96,89.76,85.33,89.76,2025-10-28T11:15:02.069Z
rftmxp,15m,2025-10-28T11:31:02.073Z,87.9,93.31,87.9,92.01,2025-10-28T11:31:02.073Z
rftmxp,15m,2025-10-28T11:50:21.058Z,86.69,86.69,86.69,86.69,2025-10-28T11:50:21.058Z
rftmxp,15m,2025-10-28T12:05:23.622Z,88.97,89.82,88.06,89.36,2025-10-28T12:05:23.622Z
rftmxp,15m,2025-10-28T12:20:23.622Z,86.79,88.53,85.68,87.04,2025-10-28T12:20:23.622Z
rftmxp,15m,2025-10-28T12:35:23.622Z,88.19,88.19,85.15,87.22,2025-10-28T12:35:23.622Z
rftmxp,15m,2025-10-28T12:35:27.081Z,90.51,90.51,88.53,90.23,2025-10-28T12:35:27.081Z
rftmxp,15m,2025-10-28T12:51:44.033Z,89.19,94.39,87.04,93.47,2025-10-28T12:51:44.033Z
rftmxp,15m,2025-10-28T13:11:02.074Z,88.41,89.72,85.74,86.11,2025-10-28T13:11:02.074Z
rftmxp,15m,2025-11-07T02:45:02.812Z,90,91.87,87.44,89.61,
rftmxp,15m,2025-11-07T03:00:03.595Z,90,92.67,85.42,88.87,
rftmxp,15m,2025-11-07T03:15:00.426Z,90,92.9,87.45,89.61,
rftmxp,15m,2025-11-07T03:30:04.050Z,90,94.06,86.94,89.72,
rftmxp,15m,2025-11-07T03:45:01.843Z,90.53,93.5,84.83,89.86,
rftmxp,15m,2025-11-07T04:00:00.967Z,89.86,94.81,86.39,91.09,
rftmxp,15m,2025-11-07T04:15:00.993Z,89.58,94.23,86.08,91.5,
rftmxp,15m,2025-11-07T04:30:02.905Z,91.5,95.12,85.88,89.21,
rftmxp,15m,2025-11-07T04:45:02.614Z,90,91.41,87.51,89.58,
rftmxp,15m,2025-11-07T05:00:01.239Z,90,92.63,86.72,90.52,
rftmxp,15m,2025-11-07T05:15:02.064Z,90.52,94.56,85.56,89.11,
rftmxp,15m,2025-11-07T05:45:01.921Z,89.11,95.52,86.64,87.01,
rftmxp,15m,2025-11-07T06:00:42.033Z,87.01,94.78,84.37,92.2,
rftmxp,15m,2025-11-07T06:15:02.501Z,89.97,95.56,85.5,91.05,
rftmxp,15m,2025-11-07T06:31:14.085Z,91.05,93.54,83.23,90.1,
rftmxp,15m,2025-11-07T06:45:40.979Z,90.1,90.45,89.51,89.56,
rftmxp,15m,2025-11-07T07:06:13.855Z,89.56,90.97,90,90.97,
rftmxp,15m,2025-11-07T07:15:02.379Z,90.97,91.79,86.82,90.73,
rftmxp,15m,2025-11-07T07:30:02.882Z,90.73,94.44,85.49,89.44,
rftmxp,15m,2025-11-07T07:45:02.009Z,89.44,93.75,85.39,89.42,
rftmxp,15m,2025-11-07T08:00:04.388Z,89.42,93.84,85.14,90.41,
rftmxp,15m,2025-11-07T08:30:03.338Z,90.41,93.01,86.82,89.85,
rftmxp,15m,2025-11-07T08:45:02.563Z,89.85,94.37,85.05,87.08,
rftmxp,15m,2025-11-07T09:00:04.229Z,87.08,95.5,84.27,89.72,
rftmxp,15m,2025-11-07T09:15:01.955Z,89.72,94.41,86.24,89.82,
rftmxp,15m,2025-11-07T09:30:03.457Z,89.82,92.31,85.97,90.37,
rftmxp,15m,2025-11-07T09:45:02.444Z,90.37,94.49,85.52,88.7,
rftmxp,15m,2025-11-07T10:00:04.167Z,88.7,96.53,85.91,93.29,
rftmxp,15m,2025-11-07T10:15:02.613Z,93.29,93.44,85.23,90.54,
rftmxp,15m,2025-11-07T10:45:02.013Z,90.54,94.78,86.46,89.84,
rftmxp,15m,2025-11-07T11:00:04.693Z,89.84,95.03,85.34,87.54,
rftmxp,15m,2025-11-07T11:15:02.266Z,87.54,92.76,85.39,92.09,
