valueId,timeframe,ts,open,high,low,close,time
rftmxp,1h,2025-10-28T05:31:45.350Z,87.71,87.71,87.71,87.71,2025-10-28T05:31:45.350Z
rftmxp,1h,2025-10-28T10:59:15.041Z,86.82,86.82,86.82,86.82,2025-10-28T10:59:15.041Z
rftmxp,1h,2025-10-28T12:00:58.622Z,89.15,89.15,89.15,89.15,2025-10-28T12:00:58.622Z
rftmxp,1h,2025-10-28T13:03:02.060Z,87.97,90.49,87.47,88.3,2025-10-28T13:03:02.060Z
rftmxp,1h,2025-11-07T03:00:03.595Z,90,92.67,85.42,88.87,
rftmxp,1h,2025-11-07T04:00:00.967Z,90,95.02,84.83,91.09,
rftmxp,1h,2025-11-07T05:00:01.239Z,90,92.63,86.72,90.52,
rftmxp,1h,2025-11-07T06:00:42.033Z,90.52,95.52,84.37,92.2,
rftmxp,1h,2025-11-07T07:06:13.855Z,92.2,90.97,90,90.97,
rftmxp,1h,2025-11-07T08:00:04.388Z,90.97,94.44,85.14,90.41,
rftmxp,1h,2025-11-07T09:00:04.229Z,90.41,95.5,84.27,89.72,
rftmxp,1h,2025-11-07T10:00:04.167Z,89.72,96.53,85.52,93.29,
rftmxp,1h,2025-11-07T11:00:04.693Z,93.29,95.03,85.34,87.54,
rftmxp,1h,2025-11-07T12:00:04.115Z,87.54,94.14,85.03,89.95,
rftmxp,1h,2025-11-07T13:00:04.049Z,89.95,95.38,83.45,87.4,
rftmxp,1h,2025-11-07T14:00:02.938Z,87.4,94.72,84.12,85.1,
rftmxp,1h,2025-11-07T14:57:22.780Z,91.65,90,89.79,89.79,
rftmxp,1h,2025-11-07T15:25:02.296Z,89.96,89.96,89.96,89.96,
rftmxp,1h,2025-11-07T16:44:22.497Z,89.02,89.02,87.86,87.86,
rftmxp,1h,2025-11-07T21:10:08.433Z,87.22,88.14,87.22,88.14,
rftmxp,1h,2025-11-08T13:59:59.468Z,89.46,89.46,89.4,89.4,
rftmxp,1h,2025-11-08T14:03:06.469Z,89.68,89.68,89.68,89.68,
rftmxp,1h,2025-11-08T15:45:21.376Z,88.5,88.5,88.5,88.5,
rftmxp,1h,2025-11-08T16:59:53.405Z,91.11,90,88.2,88.2,
rftmxp,1h,2025-11-08T17:49:21.200Z,88.54,91.11,90,91.11,
rftmxp,1h,2025-11-08T18:04:01.240Z,89.17,89.17,89.17,89.17,
rftmxp,1h,2025-11-08T19:49:55.521Z,89.28,89.89,89.28,89.89,
