valueId,timeframe,ts,open,high,low,close,time
sammxp,15m,2025-10-28T05:31:45.350Z,0.9649,0.9649,0.9649,0.9649,2025-10-28T05:31:45.350Z
sammxp,15m,2025-10-28T10:59:15.041Z,0.9582,0.9582,0.9582,0.9582,2025-10-28T10:59:15.041Z
sammxp,15m,2025-10-28T11:37:44.357Z,0.9798,0.9798,0.9798,0.9798,2025-10-28T11:37:44.357Z
sammxp,15m,2025-10-28T11:52:46.058Z,0.9777,0.9777,0.9777,0.9777,2025-10-28T11:52:46.058Z
sammxp,15m,2025-10-28T12:07:48.622Z,1.0064,1.0064,1.0064,1.0064,2025-10-28T12:07:48.622Z
sammxp,15m,2025-10-28T12:22:48.622Z,0.9695,0.9747,0.9695,0.9747,2025-10-28T12:22:48.622Z
sammxp,15m,2025-10-28T12:51:44.033Z,0.9888,1.0323,0.9498,0.9846,2025-10-28T12:51:44.033Z
sammxp,15m,2025-11-07T02:45:02.812Z,0.99,1.0071,0.9782,1.0011,
sammxp,15m,2025-11-07T03:00:03.595Z,0.99,1.0398,0.9633,1.0026,
sammxp,15m,2025-11-07T03:15:00.426Z,0.99,1.0331,0.971,0.9783,
sammxp,15m,2025-11-07T03:30:04.050Z,0.99,1.0433,0.9606,1.0433,
sammxp,15m,2025-11-07T03:45:01.843Z,0.9902,1.0229,0.9313,1.012,
sammxp,15m,2025-11-07T04:00:00.967Z,1.012,1.0283,0.9346,0.9916,
sammxp,15m,2025-11-07T04:15:00.993Z,1.0176,1.0305,0.9542,1.0012,
sammxp,15m,2025-11-07T04:30:02.905Z,1.0012,1.0398,0.9473,0.9863,
sammxp,15m,2025-11-07T04:45:02.614Z,0.99,1.0319,0.9577,1.0261,
sammxp,15m,2025-11-07T05:00:01.239Z,0.99,1.0329,0.9517,0.9771,
sammxp,15m,2025-11-07T05:15:02.064Z,0.9739,1.0335,0.9355,0.9928,
sammxp,15m,2025-11-07T05:45:01.921Z,0.9928,1.0289,0.9592,1.0289,
sammxp,15m,2025-11-07T06:00:42.033Z,1.0289,1.0419,0.9403,0.9836,
sammxp,15m,2025-11-07T06:15:02.501Z,0.9834,1.0481,0.948,1.0103,
sammxp,15m,2025-11-07T06:31:14.085Z,1.0103,1.0398,0.9551,1.0015,
sammxp,15m,2025-11-07T06:45:40.979Z,1.0015,0.968,0.94,0.9457,
sammxp,15m,2025-11-07T07:06:13.929Z,0.9457,0.94,0.9285,0.9285,
sammxp,15m,2025-11-07T07:15:02.379Z,0.9285,0.9769,0.9222,0.9513,
sammxp,15m,2025-11-07T07:30:02.882Z,0.9513,0.9836,0.8882,0.9627,
sammxp,15m,2025-11-07T07:45:02.009Z,0.9627,0.9871,0.8846,0.9271,
sammxp,15m,2025-11-07T08:00:04.388Z,0.9271,1.0017,0.8993,0.9267,
sammxp,15m,2025-11-07T08:30:03.338Z,0.9267,0.9844,0.9213,0.955,
sammxp,15m,2025-11-07T08:45:02.563Z,0.955,1.0005,0.8947,0.9674,
sammxp,15m,2025-11-07T09:00:04.229Z,0.9674,0.9803,0.898,0.9527,
sammxp,15m,2025-11-07T09:15:01.955Z,0.9527,0.9746,0.8857,0.9267,
sammxp,15m,2025-11-07T09:30:03.457Z,0.9267,0.9753,0.897,0.9558,
sammxp,15m,2025-11-07T09:45:02.444Z,0.9558,0.9938,0.8977,0.9548,
