valueId,timeframe,ts,open,high,low,close,time
sammxp,1h,2025-10-28T05:31:45.350Z,0.9649,0.9649,0.9649,0.9649,2025-10-28T05:31:45.350Z
sammxp,1h,2025-10-28T10:00:41.573Z,0.9608,0.9608,0.9608,0.9608,2025-10-28T10:00:41.573Z
sammxp,1h,2025-10-28T11:00:44.157Z,0.959,0.959,0.9522,0.9536,2025-10-28T11:00:44.157Z
sammxp,1h,2025-10-28T12:00:58.622Z,0.9772,0.9772,0.9772,0.9772,2025-10-28T12:00:58.622Z
sammxp,1h,2025-11-07T03:00:03.595Z,0.99,1.0398,0.9633,1.0026,
sammxp,1h,2025-11-07T04:00:00.967Z,0.99,1.0477,0.9313,0.9916,
sammxp,1h,2025-11-07T05:00:01.239Z,0.99,1.0329,0.9517,0.9771,
sammxp,1h,2025-11-07T06:00:42.033Z,0.9771,1.0419,0.9403,0.9836,
sammxp,1h,2025-11-07T07:06:13.929Z,0.9836,0.94,0.9285,0.9285,
sammxp,1h,2025-11-07T08:00:04.388Z,0.9285,1.0017,0.8846,0.9267,
sammxp,1h,2025-11-07T09:00:04.229Z,0.9267,1.0005,0.8947,0.9527,
sammxp,1h,2025-11-07T10:00:04.167Z,0.9527,1.0053,0.8857,0.9696,
sammxp,1h,2025-11-07T11:00:04.693Z,0.9696,0.986,0.895,0.9401,
sammxp,1h,2025-11-07T12:00:04.115Z,0.9401,0.9832,0.8778,0.9423,
sammxp,1h,2025-11-07T13:00:04.049Z,0.9423,0.9823,0.8956,0.9403,
sammxp,1h,2025-11-07T14:00:02.938Z,0.9403,0.9821,0.8938,0.9442,
sammxp,1h,2025-11-07T14:57:22.780Z,0.9441,0.94,0.9335,0.9335,
sammxp,1h,2025-11-07T15:25:02.296Z,0.9084,0.9084,0.9084,0.9084,
sammxp,1h,2025-11-07T16:44:01.415Z,0.9378,0.9378,0.919,0.919,
sammxp,1h,2025-11-07T21:10:08.433Z,0.9467,0.9467,0.9448,0.9448,
sammxp,1h,2025-11-08T14:00:09.019Z,0.924,0.9588,0.94,0.9588,
sammxp,1h,2025-11-08T14:03:06.469Z,0.9191,0.9191,0.9191,0.9191,
sammxp,1h,2025-11-08T15:45:21.376Z,0.9463,0.9463,0.9463,0.9463,
sammxp,1h,2025-11-08T16:59:53.405Z,0.9314,0.9491,0.94,0.9491,
sammxp,1h,2025-11-08T17:49:09.816Z,0.9427,0.9588,0.94,0.9588,
sammxp,1h,2025-11-08T18:04:01.240Z,0.9427,0.9427,0.9334,0.9334,
sammxp,1h,2025-11-08T19:49:55.521Z,0.9394,0.9394,0.9295,0.9295,
