valueId,timeframe,ts,open,high,low,close,time
sonmxp,15m,2025-10-28T05:31:45.350Z,1.1832,1.1832,1.1832,1.1832,2025-10-28T05:31:45.350Z
sonmxp,15m,2025-10-28T10:59:15.041Z,1.1777,1.1777,1.1777,1.1777,2025-10-28T10:59:15.041Z
sonmxp,15m,2025-10-28T11:37:44.357Z,1.2069,1.2069,1.2069,1.2069,2025-10-28T11:37:44.357Z
sonmxp,15m,2025-10-28T11:52:46.058Z,1.19,1.19,1.19,1.19,2025-10-28T11:52:46.058Z
sonmxp,15m,2025-10-28T12:07:48.622Z,1.2074,1.2074,1.2074,1.2074,2025-10-28T12:07:48.622Z
sonmxp,15m,2025-10-28T12:22:48.622Z,1.1656,1.1656,1.1465,1.1465,2025-10-28T12:22:48.622Z
sonmxp,15m,2025-10-28T12:44:02.404Z,1.1664,1.2274,1.1664,1.2041,2025-10-28T12:44:02.404Z
sonmxp,15m,2025-10-28T12:51:44.033Z,1.2189,1.2624,1.1437,1.2045,2025-10-28T12:51:44.033Z
sonmxp,15m,2025-10-28T13:03:02.060Z,1.1933,1.2105,1.1694,1.202,2025-10-28T13:03:02.060Z
sonmxp,15m,2025-10-28T13:33:02.045Z,1.1855,1.2277,1.168,1.2277,2025-10-28T13:33:02.045Z
sonmxp,15m,2025-11-07T02:45:02.812Z,1.2,1.26,1.1872,1.2355,
sonmxp,15m,2025-11-07T03:00:03.595Z,1.2,1.2277,1.1647,1.1776,
sonmxp,15m,2025-11-07T03:15:00.426Z,1.2,1.2621,1.1589,1.2122,
sonmxp,15m,2025-11-07T03:30:04.050Z,1.2,1.2604,1.1498,1.1727,
sonmxp,15m,2025-11-07T03:45:01.843Z,1.2246,1.2624,1.1479,1.1712,
sonmxp,15m,2025-11-07T04:00:00.967Z,1.1712,1.2555,1.1398,1.2083,
sonmxp,15m,2025-11-07T04:15:00.993Z,1.2246,1.264,1.1496,1.1606,
sonmxp,15m,2025-11-07T04:30:02.905Z,1.1606,1.2685,1.1522,1.1851,
sonmxp,15m,2025-11-07T04:45:02.614Z,1.2,1.2347,1.1728,1.2199,
sonmxp,15m,2025-11-07T05:00:01.239Z,1.2,1.2592,1.1461,1.1851,
sonmxp,15m,2025-11-07T05:15:02.064Z,1.2134,1.2756,1.1456,1.2008,
sonmxp,15m,2025-11-07T05:45:01.921Z,1.2008,1.2441,1.1545,1.1661,
sonmxp,15m,2025-11-07T06:00:42.033Z,1.1661,1.2629,1.1438,1.1986,
sonmxp,15m,2025-11-07T06:15:02.501Z,1.1836,1.2932,1.1551,1.2204,
sonmxp,15m,2025-11-07T06:31:14.085Z,1.2204,1.2502,1.134,1.1797,
sonmxp,15m,2025-11-07T06:45:40.979Z,1.1797,1.28,1.2508,1.2758,
sonmxp,15m,2025-11-07T07:06:13.929Z,1.2758,1.2886,1.28,1.2886,
sonmxp,15m,2025-11-07T07:15:02.379Z,1.2886,1.3525,1.2322,1.2678,
sonmxp,15m,2025-11-07T07:30:02.882Z,1.2678,1.3334,1.2115,1.2957,
sonmxp,15m,2025-11-07T07:45:02.009Z,1.2957,1.3313,1.2072,1.2487,
sonmxp,15m,2025-11-07T08:00:04.388Z,1.2487,1.3576,1.2263,1.246,
sonmxp,15m,2025-11-07T08:30:03.338Z,1.246,1.3388,1.2558,1.2858,
sonmxp,15m,2025-11-07T08:45:02.563Z,1.2858,1.3679,1.225,1.2619,
sonmxp,15m,2025-11-07T09:00:04.229Z,1.2619,1.3572,1.2285,1.2913,
sonmxp,15m,2025-11-07T09:15:01.955Z,1.2913,1.3416,1.2119,1.2808,
sonmxp,15m,2025-11-07T09:30:03.457Z,1.2808,1.3338,1.2359,1.2705,
sonmxp,15m,2025-11-07T09:45:02.444Z,1.2705,1.3627,1.2072,1.269,
sonmxp,15m,2025-11-07T10:00:04.167Z,1.269,1.3279,1.2214,1.2966,
sonmxp,15m,2025-11-07T10:15:02.613Z,1.2966,1.3363,1.23,1.3007,
sonmxp,15m,2025-11-07T10:45:02.013Z,1.3007,1.3466,1.2329,1.2667,
sonmxp,15m,2025-11-07T11:00:04.693Z,1.2667,1.3326,1.2196,1.3206,
sonmxp,15m,2025-11-07T11:15:02.266Z,1.3206,1.3417,1.2179,1.3077,
sonmxp,15m,2025-11-07T11:30:03.146Z,1.3077,1.3376,1.2327,1.2644,
sonmxp,15m,2025-11-07T11:45:02.241Z,1.2644,1.3284,1.2167,1.2756,
sonmxp,15m,2025-11-07T12:00:04.115Z,1.2756,1.3555,1.2362,1.2743,
sonmxp,15m,2025-11-07T12:15:02.102Z,1.2743,1.3615,1.2093,1.2371,
sonmxp,15m,2025-11-07T12:30:03.510Z,1.2371,1.3625,1.227,1.2545,
sonmxp,15m,2025-11-07T12:45:02.057Z,1.2545,1.3536,1.2594,1.2628,
sonmxp,15m,2025-11-07T13:00:04.049Z,1.2628,1.3245,1.2326,1.3163,
sonmxp,15m,2025-11-07T13:15:02.292Z,1.3163,1.3632,1.2233,1.2672,
sonmxp,15m,2025-11-07T13:30:03.077Z,1.2672,1.3312,1.2413,1.2787,
sonmxp,15m,2025-11-07T13:45:01.975Z,1.2787,1.3346,1.2227,1.2903,
sonmxp,15m,2025-11-07T14:00:02.938Z,1.2903,1.3226,1.2245,1.2794,
