valueId,timeframe,ts,open,high,low,close,time
sonmxp,1h,2025-10-28T05:31:45.350Z,1.1832,1.1832,1.1832,1.1832,2025-10-28T05:31:45.350Z
sonmxp,1h,2025-10-28T10:59:15.041Z,1.1777,1.1777,1.1777,1.1777,2025-10-28T10:59:15.041Z
sonmxp,1h,2025-10-28T12:00:58.622Z,1.1595,1.1595,1.1595,1.1595,2025-10-28T12:00:58.622Z
sonmxp,1h,2025-10-28T13:03:02.060Z,1.1933,1.2105,1.1694,1.202,2025-10-28T13:03:02.060Z
sonmxp,1h,2025-11-07T03:00:03.595Z,1.2,1.2277,1.1647,1.1776,
sonmxp,1h,2025-11-07T04:00:00.967Z,1.2,1.2624,1.1398,1.2083,
sonmxp,1h,2025-11-07T05:00:01.239Z,1.2,1.2592,1.1461,1.1851,
sonmxp,1h,2025-11-07T06:00:42.033Z,1.1851,1.2629,1.1438,1.1986,
sonmxp,1h,2025-11-07T07:06:13.929Z,1.1986,1.2886,1.28,1.2886,
sonmxp,1h,2025-11-07T08:00:04.388Z,1.2886,1.3576,1.2072,1.246,
sonmxp,1h,2025-11-07T09:00:04.229Z,1.246,1.3679,1.225,1.2913,
sonmxp,1h,2025-11-07T10:00:04.167Z,1.2913,1.3627,1.2072,1.2966,
sonmxp,1h,2025-11-07T11:00:04.693Z,1.2966,1.3466,1.2196,1.3206,
sonmxp,1h,2025-11-07T12:00:04.115Z,1.3206,1.3555,1.2167,1.2743,
sonmxp,1h,2025-11-07T13:00:04.049Z,1.2743,1.3536,1.2326,1.3163,
sonmxp,1h,2025-11-07T14:00:02.938Z,1.3163,1.3632,1.2227,1.2794,
sonmxp,1h,2025-11-07T14:57:22.780Z,1.2561,1.28,1.2614,1.2614,
sonmxp,1h,2025-11-07T15:25:02.296Z,1.3124,1.3124,1.3124,1.3124,
sonmxp,1h,2025-11-07T16:44:01.415Z,1.3037,1.3057,1.3037,1.3057,
sonmxp,1h,2025-11-07T21:10:08.433Z,1.3096,1.3096,1.3065,1.3065,
sonmxp,1h,2025-11-08T14:00:09.019Z,1.26,1.26,1.26,1.26,
sonmxp,1h,2025-11-08T14:03:06.469Z,1.2667,1.2667,1.2667,1.2667,
sonmxp,1h,2025-11-08T15:45:21.376Z,1.2992,1.2992,1.2992,1.2992,
sonmxp,1h,2025-11-08T16:59:53.405Z,1.2788,1.3037,1.28,1.3037,
sonmxp,1h,2025-11-08T17:49:09.816Z,1.257,1.28,1.2544,1.2544,
sonmxp,1h,2025-11-08T18:04:01.240Z,1.2913,1.2913,1.2774,1.2774,
sonmxp,1h,2025-11-08T19:49:55.521Z,1.2801,1.2963,1.2801,1.2963,
