valueId,timeframe,ts,open,high,low,close,time
waumxp,4h,2025-10-28T05:27:33.678Z,0.9994,0.9994,0.9994,0.9994,2025-10-28T05:27:33.678Z
waumxp,4h,2025-10-28T10:59:15.041Z,1.0034,1.0034,1.0034,1.0034,2025-10-28T10:59:15.041Z
waumxp,4h,2025-11-07T04:00:00.967Z,1,1.0473,0.9225,1.0226,
waumxp,4h,2025-11-07T08:00:04.388Z,1.0226,1.0579,0.9539,1.0042,
waumxp,4h,2025-11-07T12:00:04.115Z,1.0042,1.0663,0.9352,1.0057,
waumxp,4h,2025-11-07T15:25:02.296Z,1.0223,1.0223,1.0223,1.0223,
waumxp,4h,2025-11-07T16:44:01.415Z,1,1,0.995,0.995,
waumxp,4h,2025-11-07T21:10:06.468Z,0.9855,0.9855,0.9855,0.9855,
waumxp,4h,2025-11-08T15:45:21.376Z,0.9988,0.9988,0.9988,0.9988,
waumxp,4h,2025-11-08T19:50:04.912Z,1.0092,1,0.9955,0.9955,
