valueId,timeframe,ts,open,high,low,close,time
waumxp,5m,2025-10-28T04:12:29.677Z,0.9912,0.9912,0.9912,0.9912,2025-10-28T04:12:29.677Z
waumxp,5m,2025-10-28T04:12:39.677Z,0.9722,0.9743,0.9722,0.9743,2025-10-28T04:12:39.677Z
waumxp,5m,2025-10-28T04:12:49.677Z,0.9665,0.9844,0.9665,0.9844,2025-10-28T04:12:49.677Z
waumxp,5m,2025-10-28T04:12:59.677Z,0.9735,0.9735,0.954,0.954,2025-10-28T04:12:59.677Z
waumxp,5m,2025-10-28T04:13:09.677Z,0.9483,0.9666,0.9483,0.9666,2025-10-28T04:13:09.677Z
waumxp,5m,2025-10-28T04:13:19.677Z,0.9859,0.9859,0.9783,0.9783,2025-10-28T04:13:19.677Z
waumxp,5m,2025-10-28T04:13:29.677Z,0.9804,0.9804,0.9781,0.9781,2025-10-28T04:13:29.677Z
waumxp,5m,2025-10-28T04:42:19.671Z,1.0314,1.0489,1.0314,1.0489,2025-10-28T04:42:19.671Z
waumxp,5m,2025-10-28T04:42:29.671Z,1.0447,1.0447,1.0258,1.0258,2025-10-28T04:42:29.671Z
waumxp,5m,2025-10-28T04:42:39.671Z,1.0113,1.0113,0.9984,0.9984,2025-10-28T04:42:39.671Z
waumxp,5m,2025-10-28T04:42:49.671Z,1.0008,1.0008,0.9942,0.9942,2025-10-28T04:42:49.671Z
waumxp,5m,2025-10-28T05:31:45.350Z,1.0051,1.0051,1.0051,1.0051,2025-10-28T05:31:45.350Z
waumxp,5m,2025-10-28T05:36:46.411Z,1.0225,1.039,0.9776,1.0181,2025-10-28T05:36:46.411Z
waumxp,5m,2025-10-28T10:59:15.041Z,1.0034,1.0034,1.0034,1.0034,2025-10-28T10:59:15.041Z
waumxp,5m,2025-10-28T11:40:26.082Z,0.9932,0.9932,0.9932,0.9932,2025-10-28T11:40:26.082Z
waumxp,5m,2025-10-28T11:50:21.058Z,1.0252,1.0252,1.0252,1.0252,2025-10-28T11:50:21.058Z
waumxp,5m,2025-10-28T12:00:58.622Z,1.0033,1.0033,1.0033,1.0033,2025-10-28T12:00:58.622Z
waumxp,5m,2025-10-28T12:05:58.622Z,0.9944,0.9949,0.9745,0.9902,2025-10-28T12:05:58.622Z
waumxp,5m,2025-10-28T12:10:58.622Z,1.0219,1.0219,1.0219,1.0219,2025-10-28T12:10:58.622Z
waumxp,5m,2025-10-28T12:11:02.049Z,0.961,0.9753,0.923,0.9639,2025-10-28T12:11:02.049Z
waumxp,5m,2025-10-28T12:15:58.622Z,1.0361,1.0512,1.0118,1.0512,2025-10-28T12:15:58.622Z
waumxp,5m,2025-10-28T12:20:58.622Z,1.0043,1.024,0.9759,1.0118,2025-10-28T12:20:58.622Z
waumxp,5m,2025-10-28T12:25:58.622Z,1.001,1.001,0.9449,0.9575,2025-10-28T12:25:58.622Z
waumxp,5m,2025-10-28T12:30:58.622Z,0.9922,1.0432,0.9858,1.0096,2025-10-28T12:30:58.622Z
