valueId,timeframe,ts,open,high,low,close,time
wbtmxp,15m,2025-10-28T05:31:45.350Z,1.0221,1.0221,1.0221,1.0221,2025-10-28T05:31:45.350Z
wbtmxp,15m,2025-10-28T10:00:15.595Z,1.0017,1.0017,1.0017,1.0017,2025-10-28T10:00:15.595Z
wbtmxp,15m,2025-10-28T10:59:15.041Z,1.0425,1.0425,1.0425,1.0425,2025-10-28T10:59:15.041Z
wbtmxp,15m,2025-10-28T11:31:02.073Z,1.0017,1.0217,0.9646,0.9646,2025-10-28T11:31:02.073Z
wbtmxp,15m,2025-10-28T11:50:21.058Z,1.0425,1.0425,1.0425,1.0425,2025-10-28T11:50:21.058Z
wbtmxp,15m,2025-10-28T12:05:23.622Z,0.9974,1.0124,0.9817,0.9817,2025-10-28T12:05:23.622Z
wbtmxp,15m,2025-10-28T12:20:23.622Z,1.0187,1.0306,1.018,1.0306,2025-10-28T12:20:23.622Z
wbtmxp,15m,2025-10-28T12:35:23.622Z,1.0144,1.0417,1.0144,1.0417,2025-10-28T12:35:23.622Z
wbtmxp,15m,2025-10-28T12:51:02.050Z,1.042,1.0599,1.0257,1.0257,2025-10-28T12:51:02.050Z
wbtmxp,15m,2025-10-28T12:51:44.033Z,1.0055,1.0655,0.9577,0.9986,2025-10-28T12:51:44.033Z
wbtmxp,15m,2025-11-07T02:45:02.812Z,1,1.0277,0.9804,1.0059,
wbtmxp,15m,2025-11-07T03:00:03.595Z,1,1.0492,0.9603,0.9719,
wbtmxp,15m,2025-11-07T03:15:00.426Z,1,1.0368,0.9524,0.9611,
wbtmxp,15m,2025-11-07T03:30:04.050Z,1,1.0193,0.9594,0.9594,
wbtmxp,15m,2025-11-07T03:45:01.843Z,1.0204,1.0589,0.9577,0.9767,
wbtmxp,15m,2025-11-07T04:00:00.967Z,0.9767,1.0414,0.9574,0.9835,
wbtmxp,15m,2025-11-07T04:15:00.993Z,0.9878,1.0429,0.9404,0.9758,
wbtmxp,15m,2025-11-07T04:30:02.932Z,0.9542,1.0519,0.9434,0.9816,
wbtmxp,15m,2025-11-07T04:45:02.614Z,1,1.0265,0.9644,0.9644,
wbtmxp,15m,2025-11-07T05:00:01.239Z,1,1.0302,0.9574,0.9995,
wbtmxp,15m,2025-11-07T05:15:02.064Z,1.0067,1.0465,0.9432,1.0094,
wbtmxp,15m,2025-11-07T05:45:01.921Z,1.0094,1.0458,0.9846,0.9846,
wbtmxp,15m,2025-11-07T06:00:42.033Z,0.9846,1.0569,0.9489,0.9574,
wbtmxp,15m,2025-11-07T06:15:02.501Z,1.0005,1.0379,0.9449,0.9497,
wbtmxp,15m,2025-11-07T06:31:14.085Z,0.9497,1.0378,0.9446,0.9739,
wbtmxp,15m,2025-11-07T06:45:40.979Z,0.9739,0.9893,0.9574,0.9893,
wbtmxp,15m,2025-11-07T07:06:13.929Z,0.9893,0.98,0.967,0.967,
wbtmxp,15m,2025-11-07T07:15:02.379Z,0.967,1.0031,0.9379,0.9459,
wbtmxp,15m,2025-11-07T07:30:02.882Z,0.9459,1.0258,0.9459,1.0212,
wbtmxp,15m,2025-11-07T07:45:02.009Z,1.0212,1.0605,0.9337,1.0176,
wbtmxp,15m,2025-11-07T08:00:04.388Z,1.0176,1.0329,0.9108,0.9848,
wbtmxp,15m,2025-11-07T08:30:03.338Z,0.9848,1.0228,0.9454,1.0064,
wbtmxp,15m,2025-11-07T08:45:02.563Z,1.0064,1.0239,0.9392,0.9564,
wbtmxp,15m,2025-11-07T09:00:04.229Z,0.9564,1.0148,0.9224,0.9651,
wbtmxp,15m,2025-11-07T09:15:01.955Z,0.9651,1.0291,0.9382,0.9895,
wbtmxp,15m,2025-11-07T09:30:03.457Z,0.9895,1.0211,0.9419,1.0024,
wbtmxp,15m,2025-11-07T09:45:02.444Z,1.0024,1.0226,0.9186,1.0018,
wbtmxp,15m,2025-11-07T10:00:04.167Z,1.0018,1.032,0.9384,0.9542,
wbtmxp,15m,2025-11-07T10:15:02.613Z,0.9542,1.0252,0.9304,0.9398,
wbtmxp,15m,2025-11-07T10:45:02.013Z,0.9398,1.012,0.9435,0.9937,
wbtmxp,15m,2025-11-07T11:00:04.693Z,0.9937,1.026,0.9192,0.9898,
wbtmxp,15m,2025-11-07T11:15:02.266Z,0.9898,1.0512,0.918,0.9408,
wbtmxp,15m,2025-11-07T11:30:03.146Z,0.9408,1.013,0.9236,0.9447,
wbtmxp,15m,2025-11-07T11:45:02.241Z,0.9447,1.0045,0.934,0.9655,
wbtmxp,15m,2025-11-07T12:00:04.115Z,0.9655,1.0345,0.9455,0.9981,
wbtmxp,15m,2025-11-07T12:15:02.102Z,0.9981,1.0132,0.9281,0.9665,
wbtmxp,15m,2025-11-07T12:30:03.510Z,0.9665,1.0234,0.9174,0.9831,
wbtmxp,15m,2025-11-07T12:45:02.057Z,0.9831,1.0298,0.9473,1.0241,
wbtmxp,15m,2025-11-07T13:00:04.049Z,1.0241,1.0274,0.9389,0.967,
wbtmxp,15m,2025-11-07T13:15:02.292Z,0.967,1.0142,0.9233,0.9843,
wbtmxp,15m,2025-11-07T13:30:03.077Z,0.9843,1.0081,0.9127,0.9779,
wbtmxp,15m,2025-11-07T13:45:01.975Z,0.9779,1.0332,0.9277,0.9753,
wbtmxp,15m,2025-11-07T14:00:02.938Z,0.9753,1.0255,0.9243,0.9788,
wbtmxp,15m,2025-11-07T14:23:58.480Z,0.9788,1.0104,0.9445,0.9578,
wbtmxp,15m,2025-11-07T14:33:47.186Z,0.9622,0.9622,0.9622,0.9622,
wbtmxp,15m,2025-11-07T14:45:02.073Z,0.9879,0.9879,0.9879,0.9879,
wbtmxp,15m,2025-11-07T14:57:22.780Z,0.9684,0.98,0.9698,0.9698,
wbtmxp,15m,2025-11-07T15:14:46.700Z,0.9945,0.9945,0.9746,0.9746,
wbtmxp,15m,2025-11-07T15:24:47.624Z,0.9668,0.9872,0.98,0.9872,
