valueId,timeframe,ts,open,high,low,close,time
wbtmxp,4h,2025-10-28T05:31:45.350Z,1.0221,1.0221,1.0221,1.0221,2025-10-28T05:31:45.350Z
wbtmxp,4h,2025-10-28T10:00:15.595Z,1.0017,1.0017,1.0017,1.0017,2025-10-28T10:00:15.595Z
wbtmxp,4h,2025-11-07T04:00:00.967Z,1,1.0589,0.9574,0.9835,
wbtmxp,4h,2025-11-07T08:00:04.388Z,0.9835,1.0605,0.9108,0.9848,
wbtmxp,4h,2025-11-07T12:00:04.115Z,0.9848,1.0512,0.918,0.9981,
wbtmxp,4h,2025-11-07T15:25:02.296Z,0.9864,0.9864,0.9864,0.9864,
wbtmxp,4h,2025-11-07T16:44:01.415Z,0.9788,0.9788,0.9592,0.9592,
wbtmxp,4h,2025-11-07T21:10:06.468Z,0.9655,0.9655,0.9655,0.9655,
wbtmxp,4h,2025-11-08T15:45:21.376Z,0.9735,0.9735,0.9735,0.9735,
wbtmxp,4h,2025-11-08T19:50:04.912Z,0.994,0.98,0.9604,0.9604,
