valueId,timeframe,ts,open,high,low,close,time
wgrmxp,15m,2025-10-28T05:31:45.350Z,1.0187,1.0187,1.0187,1.0187,2025-10-28T05:31:45.350Z
wgrmxp,15m,2025-10-28T10:59:15.041Z,0.9986,0.9986,0.9986,0.9986,2025-10-28T10:59:15.041Z
wgrmxp,15m,2025-10-28T11:19:02.070Z,1.0229,1.0469,1.0099,1.0101,2025-10-28T11:19:02.070Z
wgrmxp,15m,2025-10-28T11:40:26.082Z,1.0107,1.0107,1.0107,1.0107,2025-10-28T11:40:26.082Z
wgrmxp,15m,2025-10-28T12:00:58.622Z,1.0048,1.0048,1.0048,1.0048,2025-10-28T12:00:58.622Z
wgrmxp,15m,2025-10-28T12:15:58.622Z,0.994,1.0229,0.9742,1.0229,2025-10-28T12:15:58.622Z
wgrmxp,15m,2025-10-28T12:30:58.622Z,1.0356,1.0364,0.988,1.0155,2025-10-28T12:30:58.622Z
wgrmxp,15m,2025-10-28T12:51:02.050Z,1.0155,1.0229,0.9579,0.9579,2025-10-28T12:51:02.050Z
wgrmxp,15m,2025-10-28T12:51:44.033Z,0.9814,1.0541,0.9478,0.9948,2025-10-28T12:51:44.033Z
wgrmxp,15m,2025-10-28T13:25:02.076Z,1.0152,1.0369,0.9949,1.0034,2025-10-28T13:25:02.076Z
wgrmxp,15m,2025-11-07T02:45:02.812Z,1,1.0278,0.9827,1.0278,
wgrmxp,15m,2025-11-07T03:00:03.595Z,1,1.0566,0.9775,1.0365,
wgrmxp,15m,2025-11-07T03:15:00.426Z,1,1.0099,0.949,1.0025,
wgrmxp,15m,2025-11-07T03:30:04.050Z,1,1.0453,0.9533,0.9533,
wgrmxp,15m,2025-11-07T03:45:01.843Z,0.9813,1.0398,0.9522,1.0067,
wgrmxp,15m,2025-11-07T04:00:00.967Z,1.0067,1.0354,0.9157,0.9725,
wgrmxp,15m,2025-11-07T04:15:00.993Z,0.9401,1.0452,0.9401,1.0183,
wgrmxp,15m,2025-11-07T04:30:02.905Z,1.0183,1.0539,0.9572,1.0299,
wgrmxp,15m,2025-11-07T04:45:02.614Z,1,1.0263,0.9745,1.0263,
wgrmxp,15m,2025-11-07T05:00:01.239Z,1,1.0377,0.9536,1.01,
wgrmxp,15m,2025-11-07T05:15:02.064Z,1.0245,1.0606,0.9402,0.9854,
wgrmxp,15m,2025-11-07T05:45:01.921Z,0.9854,1.0232,0.933,1.0117,
wgrmxp,15m,2025-11-07T06:00:42.033Z,1.0117,1.047,0.9397,1.0088,
wgrmxp,15m,2025-11-07T06:15:02.501Z,1.0032,1.0396,0.9429,0.9629,
wgrmxp,15m,2025-11-07T06:31:14.085Z,0.9629,1.0505,0.9355,1.0061,
wgrmxp,15m,2025-11-07T06:45:40.979Z,1.0061,1.0315,1.0096,1.0116,
wgrmxp,15m,2025-11-07T07:06:13.929Z,1.0116,1.0366,1.03,1.0366,
wgrmxp,15m,2025-11-07T07:15:02.379Z,1.0366,1.0315,0.9707,0.9993,
wgrmxp,15m,2025-11-07T07:30:02.882Z,0.9993,1.0746,0.9871,1.0275,
wgrmxp,15m,2025-11-07T07:45:02.009Z,1.0275,1.08,0.9968,1.0178,
wgrmxp,15m,2025-11-07T08:00:04.388Z,1.0178,1.0678,0.9795,1.0632,
wgrmxp,15m,2025-11-07T08:30:03.338Z,1.0632,1.066,1.0032,1.0466,
wgrmxp,15m,2025-11-07T08:45:02.563Z,1.0466,1.0826,1.0002,1.0297,
wgrmxp,15m,2025-11-07T09:00:04.229Z,1.0297,1.0635,0.9794,1.0123,
wgrmxp,15m,2025-11-07T09:15:01.955Z,1.0123,1.0824,0.9847,0.9879,
wgrmxp,15m,2025-11-07T09:30:03.457Z,0.9879,1.0882,0.9713,0.9985,
wgrmxp,15m,2025-11-07T09:45:02.444Z,0.9985,1.0753,0.9658,1.056,
wgrmxp,15m,2025-11-07T10:00:04.167Z,1.056,1.0714,0.9643,1.0465,
wgrmxp,15m,2025-11-07T10:15:02.613Z,1.0465,1.0778,0.9796,1.0372,
wgrmxp,15m,2025-11-07T10:45:02.013Z,1.0372,1.0768,0.9965,1.0299,
wgrmxp,15m,2025-11-07T11:00:04.693Z,1.0299,1.0798,0.9871,0.9976,
wgrmxp,15m,2025-11-07T11:15:02.266Z,0.9976,1.0807,0.9642,1.0553,
wgrmxp,15m,2025-11-07T11:30:03.146Z,1.0553,1.0942,1.0011,1.0672,
wgrmxp,15m,2025-11-07T11:45:02.241Z,1.0672,1.083,0.9614,1.0478,
wgrmxp,15m,2025-11-07T12:00:04.115Z,1.0478,1.076,0.9881,1.0432,
wgrmxp,15m,2025-11-07T12:15:02.102Z,1.0432,1.0878,0.9872,1.0412,
wgrmxp,15m,2025-11-07T12:30:03.510Z,1.0412,1.0775,0.9675,0.9675,
wgrmxp,15m,2025-11-07T12:45:02.057Z,0.9675,1.0477,0.9868,1.039,
wgrmxp,15m,2025-11-07T13:00:04.049Z,1.039,1.074,0.9874,1.0183,
wgrmxp,15m,2025-11-07T13:15:02.292Z,1.0183,1.1005,0.9857,1.0607,
wgrmxp,15m,2025-11-07T13:30:03.077Z,1.0607,1.0607,0.9736,1.0319,
wgrmxp,15m,2025-11-07T13:45:01.975Z,1.0319,1.1014,0.9718,1.0379,
wgrmxp,15m,2025-11-07T14:00:02.938Z,1.0379,1.0923,0.9761,1.0102,
wgrmxp,15m,2025-11-07T14:23:58.480Z,1.0102,1.0973,0.9951,1.031,
