valueId,timeframe,ts,open,high,low,close,time
wgrmxp,4h,2025-10-28T05:31:45.350Z,1.0187,1.0187,1.0187,1.0187,2025-10-28T05:31:45.350Z
wgrmxp,4h,2025-10-28T10:59:15.041Z,0.9986,0.9986,0.9986,0.9986,2025-10-28T10:59:15.041Z
wgrmxp,4h,2025-11-07T04:00:00.967Z,1,1.0398,0.9157,0.9725,
wgrmxp,4h,2025-11-07T08:00:04.388Z,0.9725,1.08,0.9707,1.0632,
wgrmxp,4h,2025-11-07T12:00:04.115Z,1.0632,1.0942,0.9614,1.0432,
wgrmxp,4h,2025-11-07T15:25:02.296Z,1.0399,1.0399,1.0399,1.0399,
wgrmxp,4h,2025-11-07T16:44:21.039Z,1.0307,1.0307,1.0307,1.0307,
wgrmxp,4h,2025-11-07T21:10:08.433Z,1.0422,1.0422,1.0248,1.0248,
wgrmxp,4h,2025-11-08T15:45:21.376Z,1.0139,1.0139,1.0139,1.0139,
wgrmxp,4h,2025-11-08T19:50:04.912Z,1.0206,1.03,1.0195,1.0195,
