valueId,timeframe,ts,open,high,low,close,time
wxhmxp,1h,2025-10-28T05:27:33.678Z,1.0115,1.0115,1.0115,1.0115,2025-10-28T05:27:33.678Z
wxhmxp,1h,2025-10-28T10:00:15.595Z,1.0066,1.0066,1.0066,1.0066,2025-10-28T10:00:15.595Z
wxhmxp,1h,2025-10-28T11:00:39.157Z,1.0123,1.0123,1.0123,1.0123,2025-10-28T11:00:39.157Z
wxhmxp,1h,2025-10-28T12:00:58.622Z,1.027,1.027,1.027,1.027,2025-10-28T12:00:58.622Z
wxhmxp,1h,2025-10-28T13:07:02.078Z,0.9962,1.0126,0.9725,1.0126,2025-10-28T13:07:02.078Z
wxhmxp,1h,2025-11-07T03:00:03.595Z,1,1,0.9226,0.9697,
wxhmxp,1h,2025-11-07T04:00:00.967Z,1,1.0526,0.9228,1.0197,
wxhmxp,1h,2025-11-07T05:00:01.239Z,1,1.0537,0.9526,0.9634,
wxhmxp,1h,2025-11-07T06:00:42.033Z,0.9634,1.0744,0.9393,0.9965,
wxhmxp,1h,2025-11-07T07:06:13.929Z,0.9965,1.05,1.029,1.029,
wxhmxp,1h,2025-11-07T08:00:04.388Z,1.029,1.1299,0.9759,1.0475,
wxhmxp,1h,2025-11-07T09:00:04.229Z,1.0475,1.102,0.9767,1.0612,
wxhmxp,1h,2025-11-07T10:00:04.167Z,1.0612,1.1133,0.9981,1.0608,
wxhmxp,1h,2025-11-07T11:00:04.693Z,1.0608,1.104,0.9773,1.0047,
wxhmxp,1h,2025-11-07T12:00:04.115Z,1.0047,1.1126,0.9845,1.0723,
wxhmxp,1h,2025-11-07T13:00:04.049Z,1.0723,1.1108,1.0114,1.0511,
wxhmxp,1h,2025-11-07T14:00:02.938Z,1.0511,1.1082,0.9864,1.0544,
wxhmxp,1h,2025-11-07T14:57:22.780Z,1.0413,1.05,1.0478,1.0478,
wxhmxp,1h,2025-11-07T15:24:47.624Z,1.0459,1.05,1.0407,1.0407,
wxhmxp,1h,2025-11-07T16:55:22.015Z,1.0466,1.0508,1.05,1.0508,
wxhmxp,1h,2025-11-07T21:10:08.433Z,1.0514,1.0686,1.0514,1.0686,
wxhmxp,1h,2025-11-08T13:59:59.468Z,1.0398,1.0398,1.0217,1.0217,
wxhmxp,1h,2025-11-08T14:03:06.469Z,1.0462,1.0462,1.0462,1.0462,
wxhmxp,1h,2025-11-08T15:45:21.376Z,1.0447,1.0447,1.0447,1.0447,
wxhmxp,1h,2025-11-08T16:59:53.405Z,1.0597,1.0544,1.05,1.0544,
wxhmxp,1h,2025-11-08T17:49:21.200Z,1.029,1.0604,1.05,1.0604,
wxhmxp,1h,2025-11-08T18:04:01.240Z,1.0449,1.0449,1.0449,1.0449,
wxhmxp,1h,2025-11-08T19:50:04.912Z,1.071,1.05,1.0424,1.0424,
