valueId,timeframe,ts,open,high,low,close,time
wxhmxp,5m,2025-10-28T04:12:29.677Z,1.0134,1.0218,1.0134,1.0218,2025-10-28T04:12:29.677Z
wxhmxp,5m,2025-10-28T04:12:39.677Z,1.0261,1.0319,1.0261,1.0319,2025-10-28T04:12:39.677Z
wxhmxp,5m,2025-10-28T04:12:49.677Z,1.0525,1.0525,1.051,1.051,2025-10-28T04:12:49.677Z
wxhmxp,5m,2025-10-28T04:12:59.677Z,1.0444,1.0444,1.0235,1.0235,2025-10-28T04:12:59.677Z
wxhmxp,5m,2025-10-28T04:13:09.677Z,1.0097,1.0097,1.0065,1.0065,2025-10-28T04:13:09.677Z
wxhmxp,5m,2025-10-28T04:13:19.677Z,0.987,1.0067,0.987,1.0067,2025-10-28T04:13:19.677Z
wxhmxp,5m,2025-10-28T04:13:29.677Z,1.0234,1.0234,1.0102,1.0102,2025-10-28T04:13:29.677Z
wxhmxp,5m,2025-10-28T04:42:39.671Z,0.9795,0.9795,0.977,0.977,2025-10-28T04:42:39.671Z
wxhmxp,5m,2025-10-28T04:42:49.671Z,0.9962,1.0002,0.9962,1.0002,2025-10-28T04:42:49.671Z
wxhmxp,5m,2025-10-28T04:43:09.671Z,1.003,1.003,1.003,1.003,2025-10-28T04:43:09.671Z
wxhmxp,5m,2025-10-28T05:31:45.350Z,1.0083,1.0083,1.0083,1.0083,2025-10-28T05:31:45.350Z
wxhmxp,5m,2025-10-28T05:36:46.411Z,1.011,1.0355,0.9711,1.0175,2025-10-28T05:36:46.411Z
wxhmxp,5m,2025-10-28T10:00:15.595Z,1.0066,1.0066,1.0066,1.0066,2025-10-28T10:00:15.595Z
wxhmxp,5m,2025-10-28T10:59:15.041Z,1.0088,1.0088,1.0088,1.0088,2025-10-28T10:59:15.041Z
wxhmxp,5m,2025-10-28T11:06:02.053Z,1.0084,1.0084,0.9729,0.9964,2025-10-28T11:06:02.053Z
wxhmxp,5m,2025-10-28T11:31:02.073Z,1.0174,1.0459,0.9779,0.9828,2025-10-28T11:31:02.073Z
wxhmxp,5m,2025-10-28T11:40:26.082Z,1.0285,1.0285,1.0285,1.0285,2025-10-28T11:40:26.082Z
