valueId,timeframe,ts,open,high,low,close,time
zhnmxp,1h,2025-10-28T05:27:33.678Z,13.38,13.38,13.38,13.38,2025-10-28T05:27:33.678Z
zhnmxp,1h,2025-10-28T10:00:15.595Z,13.14,13.14,13.14,13.14,2025-10-28T10:00:15.595Z
zhnmxp,1h,2025-10-28T11:00:39.157Z,13.4,13.4,13.4,13.4,2025-10-28T11:00:39.157Z
zhnmxp,1h,2025-10-28T12:00:58.622Z,13.37,13.37,13.37,13.37,2025-10-28T12:00:58.622Z
zhnmxp,1h,2025-11-07T03:00:03.595Z,12.8,13.9,12.8,13.25,
zhnmxp,1h,2025-11-07T04:00:00.967Z,12.8,13.91,12.51,13.36,
zhnmxp,1h,2025-11-07T05:00:01.239Z,12.8,14.17,12.6,13.07,
zhnmxp,1h,2025-11-07T06:00:42.033Z,13.07,14.39,12.8,13.57,
zhnmxp,1h,2025-11-07T07:06:13.929Z,13.57,13.3,13.02,13.3,
zhnmxp,1h,2025-11-07T08:00:04.388Z,13.3,14.18,12.92,13.63,
zhnmxp,1h,2025-11-07T09:00:04.229Z,13.63,14.26,12.9,13.84,
zhnmxp,1h,2025-11-07T10:00:04.167Z,13.84,14.27,12.93,13.86,
zhnmxp,1h,2025-11-07T11:00:04.693Z,13.86,14.12,12.69,13.25,
zhnmxp,1h,2025-11-07T12:00:04.115Z,13.25,14.22,12.83,13.6,
zhnmxp,1h,2025-11-07T13:00:04.049Z,13.6,14.29,12.79,13.65,
zhnmxp,1h,2025-11-07T14:00:02.938Z,13.65,14.27,12.74,13.3,
zhnmxp,1h,2025-11-07T14:57:22.780Z,13.55,13.81,13.02,13.81,
zhnmxp,1h,2025-11-07T15:24:47.624Z,13.55,13.62,13.02,13.62,
zhnmxp,1h,2025-11-07T16:55:22.015Z,13.27,13.74,13.02,13.74,
zhnmxp,1h,2025-11-07T21:10:08.433Z,13.38,13.38,13.28,13.28,
zhnmxp,1h,2025-11-08T13:59:59.468Z,13.29,13.47,13.29,13.47,
zhnmxp,1h,2025-11-08T14:03:06.469Z,13.55,13.55,13.55,13.55,
zhnmxp,1h,2025-11-08T15:45:21.376Z,13.03,13.03,13.03,13.03,
zhnmxp,1h,2025-11-08T16:58:28.625Z,13.54,13.54,13.47,13.47,
zhnmxp,1h,2025-11-08T17:49:09.816Z,13.28,13.64,13.02,13.64,
zhnmxp,1h,2025-11-08T18:04:01.240Z,13.46,13.46,13.45,13.45,
zhnmxp,1h,2025-11-08T19:50:04.912Z,13.3,13.44,13.02,13.44,
