valueId,timeframe,ts,open,high,low,close,time
zhnmxp,5m,2025-10-28T04:12:29.677Z,12.85,13.11,12.85,13.11,2025-10-28T04:12:29.677Z
zhnmxp,5m,2025-10-28T04:12:39.677Z,13.12,13.33,13.12,13.33,2025-10-28T04:12:39.677Z
zhnmxp,5m,2025-10-28T04:12:49.677Z,13.07,13.07,13.04,13.04,2025-10-28T04:12:49.677Z
zhnmxp,5m,2025-10-28T04:12:59.677Z,13.3,13.3,13.21,13.21,2025-10-28T04:12:59.677Z
zhnmxp,5m,2025-10-28T04:13:09.677Z,13.34,13.39,13.34,13.39,2025-10-28T04:13:09.677Z
zhnmxp,5m,2025-10-28T04:13:19.677Z,13.5,13.63,13.5,13.63,2025-10-28T04:13:19.677Z
zhnmxp,5m,2025-10-28T04:13:29.677Z,13.36,13.45,13.36,13.45,2025-10-28T04:13:29.677Z
zhnmxp,5m,2025-10-28T04:42:19.671Z,12.98,13.16,12.98,13.16,2025-10-28T04:42:19.671Z
zhnmxp,5m,2025-10-28T04:42:29.671Z,13.21,13.21,13.14,13.14,2025-10-28T04:42:29.671Z
zhnmxp,5m,2025-10-28T04:42:39.671Z,13.15,13.15,13.15,13.15,2025-10-28T04:42:39.671Z
zhnmxp,5m,2025-10-28T04:42:49.671Z,13.15,13.15,12.89,12.89,2025-10-28T04:42:49.671Z
zhnmxp,5m,2025-10-28T04:42:59.671Z,12.94,13.2,12.94,13.2,2025-10-28T04:42:59.671Z
zhnmxp,5m,2025-10-28T04:43:09.671Z,13.12,13.12,13.07,13.07,2025-10-28T04:43:09.671Z
zhnmxp,5m,2025-10-28T04:43:19.671Z,13.2,13.2,13.2,13.2,2025-10-28T04:43:19.671Z
zhnmxp,5m,2025-10-28T05:31:45.350Z,13.36,13.36,13.36,13.36,2025-10-28T05:31:45.350Z
zhnmxp,5m,2025-10-28T05:36:46.411Z,13.63,13.8,13.22,13.49,2025-10-28T05:36:46.411Z
zhnmxp,5m,2025-10-28T10:00:15.595Z,13.14,13.14,13.14,13.14,2025-10-28T10:00:15.595Z
zhnmxp,5m,2025-10-28T10:59:15.041Z,13.51,13.51,13.51,13.51,2025-10-28T10:59:15.041Z
zhnmxp,5m,2025-10-28T11:40:26.082Z,13.43,13.43,13.43,13.43,2025-10-28T11:40:26.082Z
zhnmxp,5m,2025-10-28T11:50:21.058Z,13.09,13.09,13.09,13.09,2025-10-28T11:50:21.058Z
zhnmxp,5m,2025-10-28T12:00:58.622Z,13.37,13.37,13.37,13.37,2025-10-28T12:00:58.622Z
zhnmxp,5m,2025-10-28T12:05:58.622Z,13.12,13.28,12.62,13.28,2025-10-28T12:05:58.622Z
zhnmxp,5m,2025-10-28T12:10:58.622Z,13.41,13.41,13.41,13.41,2025-10-28T12:10:58.622Z
zhnmxp,5m,2025-10-28T12:15:58.622Z,13.3,13.95,13.01,13.89,2025-10-28T12:15:58.622Z
zhnmxp,5m,2025-10-28T12:20:58.622Z,13.47,13.52,13.23,13.24,2025-10-28T12:20:58.622Z
zhnmxp,5m,2025-10-28T12:25:58.622Z,13.16,13.34,12.88,12.91,2025-10-28T12:25:58.622Z
zhnmxp,5m,2025-10-28T12:30:58.622Z,12.78,13.73,12.78,13.28,2025-10-28T12:30:58.622Z
zhnmxp,5m,2025-10-28T12:35:58.622Z,13.15,13.15,13.15,13.15,2025-10-28T12:35:58.622Z
zhnmxp,5m,2025-10-28T12:51:44.033Z,13.37,13.71,12.65,13.03,2025-10-28T12:51:44.033Z
zhnmxp,5m,2025-10-28T12:56:47.294Z,13.03,13.75,12.88,13.39,2025-10-28T12:56:47.294Z
zhnmxp,5m,2025-10-28T13:01:52.666Z,13.39,13.99,12.91,13.26,2025-10-28T13:01:52.666Z
zhnmxp,5m,2025-10-28T13:06:54.296Z,13.26,13.84,12.96,13.55,2025-10-28T13:06:54.296Z
zhnmxp,5m,2025-10-28T13:15:02.075Z,13.51,13.62,12.78,13.25,2025-10-28T13:15:02.075Z
zhnmxp,5m,2025-10-28T14:15:07.623Z,13.49,14.23,12.95,12.95,2025-10-28T14:15:07.623Z
zhnmxp,5m,2025-10-28T19:43:02.300Z,13.6,13.89,12.42,13.53,2025-10-28T19:43:02.300Z
zhnmxp,5m,2025-10-28T19:49:36.010Z,13.6,13.77,12.66,13.42,2025-10-28T19:49:36.010Z
zhnmxp,5m,2025-10-28T19:56:01.884Z,13.31,13.89,12.94,13.54,2025-10-28T19:56:01.884Z
zhnmxp,5m,2025-10-29T15:45:07.794Z,13.12,14,13.09,13.77,2025-10-29T15:45:07.794Z
zhnmxp,5m,2025-10-30T23:40:41.421Z,13.07,13.64,13.07,13.47,2025-10-30T23:40:41.421Z
zhnmxp,5m,2025-10-30T23:40:57.480Z,13.47,13.47,13.02,13.03,2025-10-30T23:40:57.480Z
zhnmxp,5m,2025-10-30T23:43:37.284Z,13.22,13.65,13.22,13.37,2025-10-30T23:43:37.284Z
zhnmxp,5m,2025-10-30T23:43:51.613Z,13.37,13.61,13.1,13.61,2025-10-30T23:43:51.613Z
zhnmxp,5m,2025-10-30T23:44:02.095Z,13.61,13.88,13.61,13.63,2025-10-30T23:44:02.095Z
zhnmxp,5m,2025-10-30T23:44:12.757Z,13.63,13.81,13.42,13.47,2025-10-30T23:44:12.757Z
